ff_b_hat,pitch_cur,pitch_rel,pitch_rel_set,rc_ch3
751,3501,0.172,0.189,-660
761,3572,0.173,0.189,-660
771,3682,0.173,0.189,-660
781,3698,0.174,0.189,-660
791,3803,0.174,0.189,-660
801,3856,0.175,0.189,-659
811,3909,0.176,0.189,-567
821,3960,0.177,0.189,-323
831,4002,0.177,0.189,-208
841,4029,0.178,0.189,-125
851,4058,0.178,0.189,3
861,4028,0.179,0.189,78
871,3991,0.179,0.186,218
881,3911,0.179,0.181,275
891,3793,0.179,0.174,384
901,3606,0.179,0.166,441
911,3392,0.178,0.157,498
921,3046,0.178,0.146,593
931,2628,0.178,0.133,626
941,2217,0.177,0.12,660
951,1692,0.176,0.107,660
961,1147,0.174,0.094,660
956,525,0.173,0.081,660
946,-122,0.171,0.068,660
936,-712,0.166,0.054,660
926,-1262,0.159,0.041,660
916,-1879,0.152,0.028,660
906,-2387,0.142,0.015,660
897,-2959,0.132,0.002,660
897,-3354,0.118,-0.011,660
897,-3635,0.102,-0.024,660
897,-3641,0.082,-0.037,660
897,-3207,0.055,-0.05,660
897,-2899,0.029,-0.063,660
897,-2506,0.001,-0.077,660
897,-2160,-0.027,-0.09,660
897,-1899,-0.055,-0.103,660
897,-1622,-0.081,-0.116,660
897,-1384,-0.105,-0.129,660
897,-1252,-0.125,-0.143,660
897,-1065,-0.144,-0.156,660
897,-936,-0.161,-0.169,660
897,-950,-0.174,-0.182,660
897,-1009,-0.184,-0.195,660
892,-1033,-0.19,-0.196,660
882,-1103,-0.192,-0.196,660
872,-1208,-0.192,-0.196,660
862,-1305,-0.191,-0.196,660
852,-1341,-0.191,-0.196,660
842,-1325,-0.192,-0.196,660
832,-1360,-0.192,-0.196,660
822,-1388,-0.192,-0.196,660
812,-1460,-0.191,-0.196,654
802,-1489,-0.191,-0.196,633
792,-1472,-0.192,-0.196,541
782,-1500,-0.192,-0.196,463
772,-1528,-0.192,-0.196,241
762,-1557,-0.192,-0.196,136
752,-1583,-0.192,-0.196,17
742,-1575,-0.192,-0.194,-169
732,-1500,-0.192,-0.189,-268
722,-1347,-0.192,-0.182,-412
712,-1124,-0.192,-0.174,-468
702,-830,-0.192,-0.164,-540
692,-512,-0.191,-0.153,-563
682,-80,-0.191,-0.141,-580
672,296,-0.189,-0.129,-607
664,680,-0.185,-0.117,-627
674,1319,-0.184,-0.104,-660
684,1796,-0.18,-0.091,-660
694,2275,-0.174,-0.078,-660
704,2859,-0.168,-0.064,-660
714,3325,-0.16,-0.051,-660
723,3648,-0.148,-0.038,-660
723,3839,-0.131,-0.025,-660
723,3897,-0.111,-0.012,-660
723,3795,-0.088,0.001,-660
723,3556,-0.061,0.014,-660
723,3240,-0.032,0.027,-660
723,2901,-0.004,0.04,-660
723,2544,0.023,0.053,-660
723,2138,0.049,0.067,-660
723,1699,0.075,0.08,-660
723,1352,0.098,0.093,-660
723,1182,0.116,0.106,-660
723,908,0.134,0.119,-660
723,737,0.148,0.133,-660
723,674,0.16,0.146,-660
726,843,0.166,0.159,-660
736,1198,0.167,0.172,-660
746,1623,0.167,0.185,-660
756,1831,0.167,0.189,-660
766,1960,0.167,0.189,-660
776,2048,0.167,0.189,-660
786,2134,0.168,0.189,-660
796,2256,0.168,0.189,-660
806,2371,0.168,0.189,-660
816,2484,0.168,0.189,-660
826,2555,0.169,0.189,-660
836,2676,0.169,0.189,-660
846,2751,0.17,0.189,-660
856,2863,0.17,0.189,-594
866,2971,0.17,0.189,-546
876,3040,0.171,0.189,-281
886,3108,0.171,0.189,-184
896,3175,0.172,0.189,-41
906,3284,0.172,0.189,3
916,3313,0.173,0.188,88
926,3323,0.173,0.184,275
936,3257,0.173,0.178,359
946,3110,0.173,0.169,493
956,2921,0.172,0.159,550
966,2608,0.172,0.147,632
976,2213,0.172,0.134,654
986,1835,0.171,0.121,660
996,1345,0.17,0.108,660
998,791,0.169,0.095,660
988,201,0.167,0.082,660
978,-416,0.165,0.068,660
968,-978,0.161,0.055,660
958,-1501,0.154,0.042,660
948,-2083,0.147,0.029,660
938,-2565,0.137,0.016,660
928,-3094,0.127,0.002,660
927,-3415,0.112,-0.01,660
927,-3721,0.096,-0.023,660
927,-3474,0.075,-0.036,660
927,-3036,0.049,-0.049,660
927,-2738,0.023,-0.063,660
927,-2358,-0.004,-0.076,660
927,-2006,-0.033,-0.089,660
927,-1818,-0.059,-0.102,660
927,-1613,-0.082,-0.115,660
927,-1362,-0.105,-0.129,660
927,-1234,-0.125,-0.142,660
927,-1111,-0.142,-0.155,660
927,-998,-0.158,-0.168,660
927,-956,-0.172,-0.181,660
927,-1027,-0.183,-0.195,660
923,-999,-0.19,-0.196,660
913,-1091,-0.192,-0.196,660
903,-1201,-0.192,-0.196,660
893,-1256,-0.192,-0.196,660
883,-1293,-0.192,-0.196,651
873,-1324,-0.192,-0.196,619
863,-1352,-0.192,-0.196,541
853,-1380,-0.192,-0.196,495
843,-1407,-0.192,-0.196,380
833,-1434,-0.192,-0.196,307
823,-1461,-0.192,-0.196,224
813,-1488,-0.192,-0.196,61
803,-1515,-0.192,-0.196,0
793,-1507,-0.192,-0.194,-175
783,-1432,-0.192,-0.19,-269
773,-1285,-0.192,-0.183,-427
763,-1059,-0.192,-0.174,-484
753,-758,-0.192,-0.164,-527
743,-384,-0.192,-0.152,-603
733,24,-0.191,-0.14,-631
723,438,-0.189,-0.127,-660
719,905,-0.186,-0.114,-660
729,1471,-0.184,-0.1,-660
739,1931,-0.178,-0.087,-660
749,2483,-0.173,-0.074,-660
759,2989,-0.166,-0.061,-660
769,3433,-0.157,-0.048,-660
776,3689,-0.143,-0.034,-660
776,3863,-0.126,-0.021,-660
776,3852,-0.105,-0.008,-660
776,3723,-0.08,0.004,-660
776,3494,-0.053,0.017,-660
776,3087,-0.023,0.031,-660
776,2699,0.005,0.044,-660
776,2317,0.032,0.057,-660
776,1929,0.059,0.07,-660
776,1497,0.084,0.083,-660
776,1225,0.105,0.097,-660
776,1045,0.121,0.11,-660
776,860,0.137,0.123,-660
776,694,0.151,0.136,-660
776,687,0.161,0.149,-660
777,874,0.166,0.163,-660
787,1341,0.165,0.176,-660
797,1726,0.165,0.189,-660
807,1874,0.165,0.189,-660
817,1966,0.166,0.189,-660
827,2064,0.167,0.189,-660
837,2197,0.167,0.189,-660
847,2279,0.167,0.189,-660
857,2403,0.167,0.189,-660
867,2523,0.167,0.189,-660
877,2602,0.168,0.189,-660
887,2723,0.168,0.189,-660
897,2800,0.169,0.189,-660
907,2918,0.169,0.189,-660
917,2992,0.17,0.189,-660
927,3105,0.17,0.189,-660
937,3176,0.171,0.189,-658
947,3285,0.171,0.189,-587
957,3351,0.171,0.189,-382
967,3417,0.172,0.189,-285
977,3524,0.172,0.189,-120
987,3583,0.173,0.189,-55
997,3683,0.173,0.189,42
1007,3750,0.173,0.188,103
1017,3739,0.174,0.185,160
1027,3678,0.174,0.181,267
1037,3601,0.174,0.175,324
1047,3451,0.174,0.167,436
1057,3273,0.174,0.158,484
1067,2977,0.174,0.148,561
1077,2607,0.174,0.136,595
1087,2209,0.173,0.124,628
1097,1732,0.172,0.111,660
1107,1230,0.171,0.098,660
1100,603,0.17,0.085,660
1090,-2,0.167,0.071,660
1080,-632,0.164,0.058,660
1070,-1174,0.158,0.045,660
1060,-1799,0.152,0.032,660
1050,-2312,0.143,0.019,660
1040,-2890,0.134,0.005,660
1034,-3335,0.121,-0.007,660
1034,-3672,0.106,-0.02,660
1034,-3626,0.088,-0.033,660
1034,-3309,0.065,-0.046,660
1034,-2865,0.038,-0.06,660
1034,-2536,0.011,-0.073,660
1034,-2188,-0.016,-0.086,660
1034,-1963,-0.043,-0.099,660
1034,-1790,-0.068,-0.112,660
1034,-1521,-0.092,-0.126,660
1034,-1396,-0.113,-0.139,657
1034,-1249,-0.132,-0.152,638
1034,-1098,-0.15,-0.164,585
1034,-990,-0.165,-0.175,551
1034,-996,-0.177,-0.185,459
1034,-1012,-0.186,-0.194,398
1025,-1072,-0.19,-0.196,269
1015,-1200,-0.191,-0.196,202
1005,-1282,-0.191,-0.196,136
995,-1330,-0.191,-0.196,30
985,-1367,-0.191,-0.196,0
975,-1383,-0.191,-0.195,-91
965,-1360,-0.191,-0.192,-147
955,-1293,-0.191,-0.189,-264
945,-1167,-0.191,-0.183,-320
935,-983,-0.191,-0.176,-374
925,-734,-0.191,-0.167,-460
915,-423,-0.191,-0.158,-489
905,-44,-0.191,-0.147,-531
895,270,-0.189,-0.137,-545
885,582,-0.185,-0.126,-563
883,1079,-0.184,-0.114,-568
893,1587,-0.181,-0.103,-574
903,1963,-0.175,-0.091,-583
913,2442,-0.17,-0.08,-585
923,2886,-0.163,-0.068,-588
933,3257,-0.154,-0.056,-588
939,3475,-0.141,-0.044,-587
939,3594,-0.125,-0.033,-586
939,3513,-0.104,-0.021,-585
939,3389,-0.082,-0.009,-583
939,3100,-0.056,0.001,-582
939,2761,-0.03,0.013,-581
939,2260,-0.002,0.025,-581
939,1885,0.023,0.036,-582
939,1662,0.043,0.048,-583
939,1308,0.064,0.06,-586
939,1018,0.082,0.071,-592
939,857,0.097,0.083,-594
939,816,0.108,0.095,-598
938,830,0.116,0.107,-600
929,885,0.123,0.119,-604
927,1008,0.128,0.131,-606
937,1252,0.131,0.143,-608
947,1508,0.134,0.156,-611
957,1835,0.137,0.168,-613
967,2073,0.141,0.18,-617
977,2234,0.148,0.189,-619
987,2197,0.154,0.189,-624
997,2114,0.162,0.189,-628
1007,2089,0.168,0.189,-641
1017,2169,0.171,0.189,-660
1027,2343,0.171,0.189,-660
1037,2504,0.171,0.189,-660
1047,2610,0.171,0.189,-660
1057,2675,0.171,0.189,-660
1067,2744,0.172,0.189,-660
1077,2847,0.172,0.189,-660
1087,2943,0.172,0.189,-660
1097,3038,0.172,0.189,-660
1107,3092,0.173,0.189,-660
1117,3191,0.173,0.189,-660
1127,3285,0.173,0.189,-657
1137,3335,0.174,0.189,-588
1147,3431,0.174,0.189,-503
1157,3484,0.174,0.189,-341
1167,3576,0.174,0.189,-270
1177,3662,0.174,0.189,-125
1187,3747,0.174,0.189,-55
1197,3792,0.175,0.189,53
1207,3807,0.176,0.188,110
1217,3782,0.177,0.185,174
1227,3740,0.177,0.18,291
1237,3630,0.177,0.174,353
1247,3448,0.177,0.165,465
1257,3192,0.177,0.156,509
1267,2909,0.176,0.145,579
1277,2550,0.175,0.133,610
1287,2112,0.174,0.12,639
1297,1603,0.174,0.107,660
1297,1017,0.173,0.094,660
1287,403,0.171,0.081,660
1277,-236,0.169,0.068,660
1267,-813,0.164,0.055,660
1257,-1359,0.158,0.041,660
1247,-1968,0.151,0.028,660
1237,-2467,0.141,0.015,660
1227,-3026,0.131,0.002,660
1226,-3409,0.117,-0.01,660
1226,-3607,0.102,-0.024,660
1226,-3410,0.083,-0.037,660
1226,-2955,0.058,-0.05,660
1226,-2643,0.032,-0.063,660
1226,-2375,0.007,-0.076,660
1226,-2083,-0.019,-0.09,660
1226,-1885,-0.044,-0.103,660
1226,-1799,-0.066,-0.116,660
1226,-1640,-0.088,-0.129,660
1226,-1546,-0.108,-0.142,660
1226,-1419,-0.128,-0.156,660
1226,-1358,-0.144,-0.169,660
1226,-1369,-0.159,-0.182,660
1226,-1409,-0.172,-0.195,660
1226,-1209,-0.184,-0.196,660
1222,-1113,-0.191,-0.196,660
1212,-1134,-0.195,-0.196,660
1202,-1262,-0.195,-0.196,660
1192,-1308,-0.195,-0.196,660
1182,-1332,-0.195,-0.196,660
1172,-1349,-0.195,-0.196,653
1162,-1363,-0.195,-0.196,620
1152,-1376,-0.195,-0.196,520
1142,-1342,-0.196,-0.196,455
1132,-1401,-0.195,-0.196,379
1122,-1413,-0.195,-0.196,205
1112,-1425,-0.195,-0.196,124
1102,-1437,-0.195,-0.196,0
1092,-1437,-0.195,-0.195,-79
1082,-1388,-0.195,-0.192,-230
1072,-1276,-0.195,-0.187,-301
1062,-1101,-0.195,-0.18,-366
1052,-857,-0.195,-0.172,-468
1042,-544,-0.195,-0.162,-504
1032,-164,-0.195,-0.152,-558
1022,202,-0.194,-0.14,-578
1012,488,-0.189,-0.128,-612
1004,1066,-0.188,-0.116,-637
1014,1621,-0.186,-0.103,-654
1024,2003,-0.179,-0.09,-660
1034,2507,-0.173,-0.077,-660
1044,3018,-0.166,-0.063,-660
1054,3424,-0.156,-0.05,-660
1057,3641,-0.141,-0.037,-660
1057,3729,-0.123,-0.024,-660
1057,3716,-0.102,-0.011,-660
1057,3571,-0.077,0.002,-660
1057,3267,-0.049,0.015,-660
1057,2875,-0.02,0.028,-660
1057,2376,0.009,0.041,-660
1057,2026,0.036,0.054,-660
1057,1648,0.062,0.068,-660
1057,1218,0.086,0.081,-660
1057,1029,0.105,0.094,-660
1057,832,0.121,0.107,-660
1057,733,0.134,0.12,-660
1057,612,0.146,0.134,-660
1057,582,0.156,0.147,-660
1050,769,0.161,0.16,-660
1048,1188,0.161,0.173,-660
1058,1589,0.161,0.186,-660
1068,1812,0.161,0.189,-660
1078,1884,0.163,0.189,-660
1088,2046,0.163,0.189,-660
1098,2201,0.163,0.189,-660
1108,2298,0.164,0.189,-660
1118,2392,0.164,0.189,-660
1128,2491,0.165,0.189,-660
1138,2637,0.165,0.189,-660
1148,2696,0.167,0.189,-660
1158,2834,0.167,0.189,-660
1168,2921,0.167,0.189,-660
1178,3047,0.167,0.189,-660
1188,3131,0.168,0.189,-660
1198,3207,0.169,0.189,-660
1208,3290,0.17,0.189,-660
1218,3371,0.171,0.189,-660
1228,3413,0.172,0.189,-660
1238,3490,0.173,0.189,-660
1248,3558,0.174,0.189,-660
1258,3624,0.174,0.189,-660
1268,3680,0.175,0.189,-615
