bullet_cnt,fric1_rpm,fric_set,key_v,mouse_x,mouse_y,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
0,4911,4900.0,0,-1,0,2,0,0,0,0.0
0,4871,4900.0,0,-18,0,2,0,0,0,0.0
0,4905,4900.0,0,-19,3,2,0,0,0,0.0
0,4879,4900.0,0,-19,3,2,0,0,0,0.0
0,4888,4900.0,0,-19,3,2,0,0,0,0.0
0,4907,4900.0,0,-19,3,2,0,0,0,0.0
0,4882,4900.0,0,-25,3,2,0,0,0,0.0
0,4913,4900.0,0,-25,3,2,0,0,0,0.0
0,4854,4900.0,0,-15,3,2,0,0,0,0.0
0,4884,4900.0,0,-13,4,2,0,0,0,0.0
0,4886,4900.0,0,-13,4,2,0,0,0,0.0
0,4875,4900.0,0,-13,4,2,0,0,0,0.0
0,4928,4900.0,0,-3,-3,2,0,0,0,0.0
0,4905,4900.0,0,-3,-3,2,0,0,0,0.0
0,4869,4900.0,0,-3,-3,2,0,0,0,0.0
0,4879,4900.0,0,-3,-3,2,0,0,0,0.0
0,4903,4900.0,0,-4,-6,2,0,0,0,0.0
0,4879,4900.0,0,-4,-6,2,0,0,0,0.0
0,4907,4900.0,0,-3,-6,2,0,0,0,0.0
0,4859,4900.0,0,-4,-4,2,0,0,0,0.0
0,4875,4900.0,0,-4,-4,2,0,0,0,0.0
0,4890,4900.0,0,-10,-3,2,0,0,0,0.0
0,4871,4900.0,0,-10,-3,2,0,0,0,0.0
0,4923,4900.0,0,-9,-3,2,0,0,0,0.0
0,4873,4900.0,0,-7,-6,2,0,0,0,0.0
0,4879,4900.0,0,-9,-6,2,0,0,0,0.0
0,4898,4900.0,0,-9,-6,2,0,0,0,0.0
0,4909,4900.0,0,-9,-6,2,0,0,0,0.0
0,4882,4900.0,0,-6,-1,2,0,0,0,0.0
0,4911,4900.0,0,-6,-1,2,0,0,0,0.0
0,4852,4900.0,0,-1,0,2,0,0,0,0.0
0,4875,4900.0,0,-1,0,2,0,0,0,0.0
0,4888,4900.0,0,-1,0,2,0,0,0,0.0
0,4869,4900.0,0,-6,0,2,0,0,0,0.0
0,4921,4900.0,0,-6,3,2,0,0,0,0.0
0,4873,4900.0,0,-7,3,2,0,0,0,0.0
0,4879,4900.0,0,-7,3,2,0,0,0,0.0
0,4898,4900.0,0,-6,0,2,0,0,0,0.0
0,4854,4900.0,0,-6,0,2,0,0,0,0.0
0,4923,4900.0,0,-6,0,2,0,0,0,0.0
0,4873,4900.0,0,-6,0,2,0,0,0,0.0
0,4886,4900.0,0,-6,0,2,0,0,0,0.0
0,4877,4900.0,0,-6,0,2,0,0,0,0.0
0,4890,4900.0,0,-6,0,2,0,0,0,0.0
0,4871,4900.0,0,-12,0,2,0,0,0,0.0
0,4921,4900.0,0,-12,0,2,0,0,0,0.0
0,4873,4900.0,0,-18,0,2,0,0,0,0.0
0,4879,4900.0,0,-7,-1,2,0,0,0,0.0
0,4900,4900.0,0,-7,-1,2,0,0,0,0.0
0,4854,4900.0,0,-21,3,2,0,0,0,0.0
0,4926,4900.0,0,-13,0,2,0,0,0,0.0
0,4871,4900.0,0,-13,0,2,0,0,0,0.0
0,4888,4900.0,0,-10,0,2,0,0,0,0.0
0,4877,4900.0,0,-10,0,2,0,0,0,0.0
0,4888,4900.0,0,-9,1,2,0,0,0,0.0
0,4907,4900.0,0,-9,0,2,0,0,0,0.0
0,4859,4900.0,0,-9,0,2,0,0,0,0.0
0,4871,4900.0,0,-7,0,2,0,0,0,0.0
