evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
0,0,0,1,0,1,0,0,0.0,3,2,158819,3176423,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158820,3176443,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158821,3176463,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158822,3176483,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158823,3176503,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158824,3176523,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158825,3176543,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158826,3176563,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158827,3176583,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158828,3176603,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158829,3176623,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158830,3176643,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158831,3176663,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158832,3176683,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158833,3176703,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158834,3176723,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158835,3176743,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158836,3176763,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158837,3176783,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158838,3176803,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158839,3176823,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158840,3176843,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158841,3176863,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158842,3176883,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158843,3176903,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158844,3176923,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158845,3176943,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158846,3176963,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158847,3176983,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158848,3177003,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158849,3177023,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158850,3177043,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158851,3177063,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158852,3177083,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158853,3177103,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158854,3177123,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158855,3177143,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158856,3177163,0,0.0,0
0,0,1,1,0,1,0,0,0.0,3,2,158857,3177183,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158858,3177203,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158859,3177223,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158860,3177243,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158861,3177263,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158862,3177283,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158863,3177303,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158864,3177323,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158865,3177343,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158866,3177363,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158867,3177383,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158868,3177403,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158869,3177423,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158870,3177443,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158871,3177463,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158872,3177483,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158873,3177503,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158874,3177523,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158875,3177543,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158876,3177563,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158877,3177583,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158878,3177603,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158879,3177623,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158880,3177643,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158881,3177663,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158882,3177683,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158883,3177703,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158884,3177723,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158885,3177743,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158886,3177763,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158887,3177783,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158888,3177803,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158889,3177823,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158890,3177843,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158891,3177863,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158892,3177883,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158893,3177903,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158894,3177923,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158895,3177943,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158896,3177963,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158897,3177983,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158898,3178003,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158899,3178023,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158900,3178043,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158901,3178063,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158902,3178083,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158903,3178103,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158904,3178123,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158905,3178143,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158906,3178163,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158907,3178183,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158908,3178203,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158909,3178223,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158910,3178243,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158911,3178263,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158912,3178283,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158913,3178303,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158914,3178323,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158915,3178343,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158916,3178363,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158917,3178383,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158918,3178403,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158919,3178423,0,0.0,0
0,0,0,1,0,1,0,0,0.0,3,2,158920,3178443,0,0.0,0
