shoot_mode,trigger_spd,trigger_spd_set,trigger_ecd_fdb,trigger_ecd_set,bullet_cnt,trigger_cur,trigger_sw,reverse_flag,local_heat,referee_heat
4,0.027,14720.0,-3977,32823,0,8000,0,0,0.0,0
4,7.185,12284.8,2111,32823,0,8000,0,0,0.0,0
4,18.659,8559.601,11424,32823,0,8000,0,0,0.0,0
2,29.721,-3482.552,38440,29438,1,-8000,0,0,9.915,0
2,25.716,-8000.0,63147,29438,1,-8000,0,0,9.675,0
2,10.869,-8000.0,74336,29438,1,-8000,0,0,9.435,0
2,-2.566,-8000.0,72699,29438,1,-8000,0,0,9.195,0
2,-14.342,-8000.0,60125,29438,1,-8000,0,0,8.955,0
2,-25.874,-3249.584,36491,29438,1,-8000,0,0,8.715,0
2,-33.904,8000.0,5208,29438,1,8000,0,0,8.475,0
2,-20.563,8000.0,-7973,29438,1,8000,0,0,8.235,0
2,-5.324,8000.0,-13868,29438,1,8000,0,0,7.995,0
2,6.711,8000.0,-8104,29438,1,8000,0,0,7.755,0
2,17.644,8000.0,8075,29438,1,8000,0,0,7.515,0
2,28.639,-1424.134,34166,29438,1,-8000,0,0,7.275,0
2,28.552,-8000.0,61131,29438,1,-8000,0,0,7.035,0
2,14.049,-8000.0,75014,29438,1,-8000,0,0,6.795,0
2,-0.198,-8000.0,75452,29438,1,-8000,0,0,6.555,0
2,-12.337,-8000.0,64332,29438,1,-8000,0,0,6.315,0
2,-23.993,-5074.235,42228,29438,1,-8000,0,0,6.075,0
2,-34.428,7298.716,10639,29438,1,8000,0,0,5.835,0
2,-24.041,8000.0,-12961,29438,1,8000,0,0,5.595,0
2,-8.318,8000.0,-21828,29438,1,8000,0,0,5.355,0
2,4.29,8000.0,-18809,29438,1,8000,0,0,5.115,0
2,15.398,8000.0,-4341,29438,1,8000,0,0,4.875,0
2,26.754,3703.014,20129,29438,1,8000,0,0,4.635,0
2,34.444,-8000.0,52015,29438,1,-8000,0,0,4.395,0
2,23.072,-8000.0,74692,29438,1,-8000,0,0,4.155,0
2,7.645,-8000.0,82837,29438,1,-8000,0,0,3.915,0
2,-5.17,-8000.0,78836,29438,1,-8000,0,0,3.675,0
2,-16.808,-8000.0,63843,29438,1,-8000,0,0,3.435,0
2,-28.382,-3019.437,36331,29438,1,-8000,0,0,3.195,0
2,-37.049,8000.0,1947,29438,1,8000,0,0,2.955,0
2,-24.55,8000.0,-21891,29438,1,8000,0,0,2.715,0
2,-8.281,8000.0,-30611,29438,1,8000,0,0,2.475,0
2,4.258,8000.0,-27231,29438,1,8000,0,0,2.235,0
2,15.32,8000.0,-13567,29438,1,8000,0,0,1.995,0
2,26.286,7318.55,10568,29438,1,8000,0,0,1.755,0
2,37.026,-6011.453,44566,29438,1,-8000,0,0,1.515,0
2,31.949,-8000.0,76185,29438,1,-8000,0,0,1.275,0
2,15.285,-8000.0,91247,29438,1,-8000,0,0,1.035,0
2,0.844,-8000.0,92704,29438,1,-8000,0,0,0.795,0
2,-11.667,-8000.0,82638,29438,1,-8000,0,0,0.555,0
2,-23.184,-8000.0,61658,29438,1,-8000,0,0,0.315,0
2,-34.61,-931.717,30105,29438,1,-8000,0,0,0.075,0
2,-39.456,8000.0,-6894,29438,1,8000,0,0,0.0,0
2,-23.589,8000.0,-30515,29438,1,8000,0,0,0.0,0
2,-6.833,8000.0,-38584,29438,1,8000,0,0,0.0,0
2,5.83,8000.0,-34014,29438,1,8000,0,0,0.0,0
2,16.762,8000.0,-18969,29438,1,8000,0,0,0.0,0
2,27.732,8000.0,6526,29438,1,8000,0,0,0.0,0
2,38.618,-4829.033,41494,29438,1,-8000,0,0,0.0,0
2,34.356,-8000.0,74270,29438,1,-8000,0,0,0.0,0
2,17.79,-8000.0,92097,29438,1,-8000,0,0,0.0,0
2,2.402,-8000.0,95640,29438,1,-8000,0,0,0.0,0
2,-9.902,-8000.0,87076,29438,1,-8000,0,0,0.0,0
2,-21.488,-8000.0,67325,29438,1,-8000,0,0,0.0,0
2,-33.213,-3283.411,36681,29438,1,-8000,0,0,0.0,0
2,-40.643,8000.0,-662,29438,1,8000,0,0,0.0,0
2,-26.931,8000.0,-26732,29438,1,8000,0,0,0.0,0
2,-9.687,8000.0,-36791,29438,1,8000,0,0,0.0,0
2,3.171,8000.0,-34149,29438,1,8000,0,0,0.0,0
2,14.636,8000.0,-20851,29438,1,8000,0,0,0.0,0
2,25.616,8000.0,2767,29438,1,8000,0,0,0.0,0
2,36.731,-2937.676,37087,29438,1,-8000,0,0,0.0,0
2,35.693,-8000.0,71125,29438,1,-8000,0,0,0.0,0
2,20.185,-8000.0,90750,29438,1,-8000,0,0,0.0,0
2,5.01,-8000.0,96118,29438,1,-8000,0,0,0.0,0
2,-7.679,-8000.0,89622,29438,1,-8000,0,0,0.0,0
2,-19.837,-8000.0,71053,29438,1,-8000,0,0,0.0,0
2,-31.849,-5000.281,41915,29438,1,-8000,0,0,0.0,0
2,-40.992,8000.0,3998,29438,1,8000,0,0,0.0,0
2,-29.202,8000.0,-24459,29438,1,8000,0,0,0.0,0
2,-11.453,8000.0,-36316,29438,1,8000,0,0,0.0,0
2,1.74,8000.0,-35629,29438,1,8000,0,0,0.0,0
2,12.894,8000.0,-24260,29438,1,8000,0,0,0.0,0
2,23.998,8000.0,-2814,29438,1,8000,0,0,0.0,0
2,35.188,-6207.103,45774,29438,1,-8000,0,0,0.0,0
2,32.7,-8000.0,86854,29438,1,-8000,0,0,0.0,0
2,16.916,-8000.0,103779,29438,1,-8000,0,0,0.0,0
2,2.239,-8000.0,106689,29438,1,-8000,0,0,0.0,0
2,-9.811,-8000.0,98172,29438,1,-8000,0,0,0.0,0
2,-21.383,-8000.0,78753,29438,1,-8000,0,0,0.0,0
2,-33.126,-8000.0,64363,29438,1,-8000,0,0,0.0,0
2,-45.548,3537.889,20737,29438,1,8000,0,0,0.0,0
2,-44.803,8000.0,-21514,29438,1,8000,0,0,0.0,0
2,-25.378,8000.0,-46362,29438,1,8000,0,0,0.0,0
2,-7.05,8000.0,-54201,29438,1,8000,0,0,0.0,0
2,4.85,8000.0,-50223,29438,1,8000,0,0,0.0,0
2,15.747,8000.0,-35939,29438,1,8000,0,0,0.0,0
2,26.627,8000.0,-11288,29438,1,8000,0,0,0.0,0
2,37.815,-330.669,31950,29438,1,-8000,0,0,0.0,0
2,41.292,-8000.0,56253,29438,1,-8000,0,0,0.0,0
2,25.485,-8000.0,73469,29438,1,-8000,0,0,0.0,0
2,8.599,-8000.0,82680,29438,1,-8000,0,0,0.0,0
2,-4.488,-8000.0,79377,29438,1,-8000,0,0,0.0,0
2,-16.068,-8000.0,65286,29438,1,-8000,0,0,0.0,0
2,-27.707,-4024.376,40036,29438,1,-8000,0,0,0.0,0
2,-36.992,6716.517,12720,29438,1,8000,0,0,0.0,0
2,-25.06,8000.0,-11794,29438,1,8000,0,0,0.0,0
2,-8.76,8000.0,-21118,29438,1,8000,0,0,0.0,0
2,3.897,8000.0,-18175,29438,1,8000,0,0,0.0,0
2,14.859,8000.0,-4749,29438,1,8000,0,0,0.0,0
2,25.778,4430.575,18603,29438,1,8000,0,0,0.0,0
2,35.149,-8000.0,50851,29438,1,-8000,0,0,0.0,0
2,25.989,-8000.0,75789,29438,1,-8000,0,0,0.0,0
2,10.239,-8000.0,86356,29438,1,-8000,0,0,0.0,0
2,-3.628,-8000.0,83865,29438,1,-8000,0,0,0.0,0
