event_bits,evt_cmd_shoot_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,447100.0,0,3,2,50911,1,1018263,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50912,1,1018283,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50913,1,1018303,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50914,1,1018323,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50915,1,1018343,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50916,1,1018363,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50917,1,1018383,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50918,1,1018403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50919,0,1018423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50920,0,1018443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50921,0,1018463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50922,0,1018483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50923,0,1018503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50924,0,1018523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50925,0,1018543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50926,0,1018563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50927,0,1018583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50928,0,1018603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50929,0,1018623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50930,0,1018643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50931,0,1018663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50932,0,1018683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50933,0,1018703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50934,0,1018723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50935,0,1018743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50936,0,1018763,0,0.0,0
