evt_cmd_shoot_toggle,evt_fn1_cur,fric1_rpm,fric2_rpm,fric_set,high_freq,shoot_mode
0,0,4882,-4857,4900.0,0,2
0,0,4882,-4887,4900.0,0,2
0,0,4909,-4851,4900.0,0,2
0,0,4882,-4887,4900.0,0,2
0,0,4896,-4897,4900.0,0,2
0,0,4873,-4857,4900.0,0,2
0,0,4871,-4908,4900.0,0,2
0,0,4903,-4880,4900.0,0,2
0,0,4867,-4874,4900.0,0,2
0,0,4869,-4874,4900.0,0,2
0,0,4884,-4897,4900.0,0,2
0,0,4884,-4866,4900.0,0,2
0,0,4879,-4887,4900.0,0,2
0,0,4907,-4887,4900.0,0,2
0,0,4882,-4857,4900.0,0,2
0,0,4890,-4880,4900.0,0,2
0,0,4879,-4851,4900.0,0,2
0,0,4871,-4893,4900.0,0,2
0,0,4905,-4897,4900.0,0,2
0,0,4867,-4860,4900.0,0,2
0,0,4909,-4851,4900.0,0,2
0,0,4888,-4893,4900.0,0,2
0,0,4875,-4883,4900.0,0,2
0,0,4913,-4885,4900.0,0,2
0,0,4905,-4912,4900.0,0,2
0,0,4882,-4841,4900.0,0,2
0,0,4882,-4880,4900.0,0,2
0,0,4888,-4866,4900.0,0,2
0,0,4873,-4880,4900.0,0,2
0,0,4907,-4899,4900.0,0,2
0,0,4867,-4855,4900.0,0,2
0,0,4907,-4889,4900.0,0,2
0,0,4890,-4872,4900.0,0,2
0,0,4877,-4868,4900.0,0,2
0,0,4913,-4885,4900.0,0,2
0,0,4844,-4910,4900.0,0,2
0,0,4894,-4862,4900.0,0,2
0,0,4873,-4885,4900.0,0,2
0,0,4875,-4899,4900.0,0,2
0,0,4928,-4857,4900.0,0,2
0,0,4909,-4891,4900.0,0,2
0,0,4869,-4872,4900.0,0,2
0,0,4898,-4887,4900.0,0,2
0,0,4892,-4906,4900.0,0,2
0,0,4877,-4845,4900.0,0,2
0,0,4911,-4878,4900.0,0,2
0,0,4844,-4857,4900.0,0,2
0,0,4888,-4887,4900.0,0,2
0,0,4877,-4904,4900.0,0,2
0,0,4875,-4920,4900.0,0,2
0,0,4926,-4851,4900.0,0,2
0,0,4861,-4891,4900.0,0,2
0,0,4886,-4893,4900.0,0,2
0,0,4886,-4878,4900.0,0,2
0,0,4861,-4912,4900.0,0,2
0,0,4932,-4851,4900.0,0,2
0,0,4911,-4880,4900.0,0,2
0,0,4848,-4880,4900.0,0,2
0,0,4882,-4872,4900.0,0,2
0,0,4879,-4895,4900.0,0,2
0,0,4875,-4864,4900.0,0,2
0,0,4926,-4889,4900.0,0,2
0,0,4865,-4891,4900.0,0,2
0,0,4882,-4920,4900.0,0,2
0,0,4888,-4847,4900.0,0,2
0,0,4861,-4908,4900.0,0,2
0,0,4930,-4874,4900.0,0,2
0,0,4871,-4885,4900.0,0,2
0,0,4888,-4914,4900.0,0,2
