bullet_cnt,fric1_rpm,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
3,4903,2,0,357844,357844,0.0,0.0
3,4882,2,0,357844,357844,0.0,0.0
3,4907,2,0,357844,357844,0.0,0.0
3,4854,2,0,357844,357844,0.0,0.0
3,4877,2,0,357844,357844,0.0,0.0
3,4888,2,0,357844,357844,0.0,0.0
3,4911,2,0,357844,357844,0.0,0.0
3,4923,2,0,357844,357844,0.0,0.0
3,4903,2,0,357844,357844,0.0,0.0
3,4873,2,0,357844,357844,0.0,0.0
3,4888,2,0,357844,357844,0.0,0.0
3,4903,2,0,357844,357844,0.0,0.0
3,4882,2,0,357844,357844,0.0,0.0
3,4905,2,0,357844,357844,0.0,0.0
3,4859,2,0,357844,357844,0.0,0.0
3,4875,2,0,357844,357844,0.0,0.0
3,4894,2,0,357844,357844,0.0,0.0
3,4869,2,0,357844,357844,0.0,0.0
3,4921,2,0,357844,357844,0.0,0.0
3,4873,2,0,357844,357844,0.0,0.0
3,4879,2,0,357844,357844,0.0,0.0
3,4903,2,0,357844,357844,0.0,0.0
3,4852,2,0,357844,357844,0.0,0.0
3,4919,2,0,357844,357844,0.0,0.0
3,4871,2,0,357844,357844,0.0,0.0
3,4863,2,0,357844,357844,0.0,0.0
3,4873,2,0,357844,357844,0.0,0.0
3,4896,2,0,357844,357844,0.0,0.0
3,4873,4,10000,357888,394708,0.003,16228.0
3,4923,4,10000,362141,394708,4.692,14526.8
3,4666,4,10000,377311,394708,16.11,8458.801
4,4844,6,-5647,399814,399814,25.449,0.0
4,4733,2,0,418637,418637,19.725,0.0
4,4827,2,0,434257,434257,16.496,0.0
4,4677,2,0,445681,445681,11.97,0.0
4,4787,2,0,456117,456117,10.426,0.0
4,4867,2,0,455600,455600,8.365,0.0
4,4877,2,0,467578,467578,3.286,0.0
4,4871,2,0,467167,467167,-0.627,0.0
4,4923,2,0,466905,466905,-0.256,0.0
4,4871,2,0,466863,466863,-0.029,0.0
4,4879,2,0,466864,466864,0.001,0.0
4,4890,2,0,466855,466855,-0.015,0.0
4,4905,2,0,466845,466845,-0.011,0.0
4,4882,2,0,466757,466757,-0.103,0.0
4,4911,2,0,466589,466589,-0.181,0.0
4,4854,2,0,466584,466584,0.0,0.0
4,4879,2,0,466585,466585,0.0,0.0
4,4886,2,0,466585,466585,0.0,0.0
4,4873,2,0,466585,466585,0.0,0.0
4,4923,2,0,466585,466585,0.0,0.0
4,4869,2,0,466585,466585,0.0,0.0
4,4882,2,0,466585,466585,0.0,0.0
4,4896,2,0,466585,466585,0.0,0.0
4,4854,2,0,466585,466585,0.0,0.0
4,4926,2,0,466585,466585,0.0,0.0
4,4869,2,0,466585,466585,0.0,0.0
4,4888,2,0,466585,466585,0.0,0.0
4,4900,2,0,466585,466585,0.0,0.0
4,4886,2,0,466585,466585,0.0,0.0
4,4873,2,0,466585,466585,0.0,0.0
4,4923,2,0,466585,466585,0.0,0.0
4,4873,2,0,466585,466585,0.0,0.0
4,4877,2,0,466585,466585,0.0,0.0
4,4898,2,0,466585,466585,0.0,0.0
4,4852,2,0,466585,466585,0.0,0.0
4,4921,2,0,466585,466585,0.0,0.0
4,4869,2,0,466585,466585,0.0,0.0
4,4886,2,0,466585,466585,0.0,0.0
4,4905,2,0,466585,466585,0.0,0.0
4,4848,2,0,466585,466585,0.0,0.0
4,4905,2,0,466585,466585,0.0,0.0
4,4859,2,0,466585,466585,0.0,0.0
4,4877,2,0,466585,466585,0.0,0.0
4,4911,2,0,466585,466585,0.0,0.0
4,4865,2,0,466585,466585,0.0,0.0
4,4909,2,0,466585,466585,0.0,0.0
4,4869,2,0,466585,466585,0.0,0.0
4,4867,2,0,466584,466584,-0.001,0.0
4,4884,2,0,466584,466584,0.0,0.0
4,4907,2,0,466584,466584,0.0,0.0
4,4848,2,0,466584,466584,0.0,0.0
4,4903,2,0,466584,466584,0.0,0.0
4,4863,2,0,466584,466584,0.0,0.0
4,4877,2,0,466584,466584,0.0,0.0
4,4917,2,0,466584,466584,0.0,0.0
4,4865,2,0,466584,466584,0.0,0.0
4,4909,2,0,466584,466584,0.0,0.0
4,4869,2,0,466584,466584,0.0,0.0
4,4865,2,0,466584,466584,0.0,0.0
4,4898,2,0,466584,466584,0.0,0.0
4,4869,2,0,466584,466584,0.0,0.0
4,4900,2,0,466584,466584,0.0,0.0
4,4879,2,0,466584,466584,0.0,0.0
4,4863,2,0,466584,466584,0.0,0.0
4,4877,2,0,466584,466584,0.0,0.0
4,4917,2,0,466584,466584,0.0,0.0
4,4869,2,0,466584,466584,0.0,0.0
4,4907,2,0,466584,466584,0.0,0.0
4,4869,2,0,466584,466584,0.0,0.0
4,4861,2,0,466584,466584,0.0,0.0
4,4900,2,0,466584,466584,0.0,0.0
4,4869,2,0,466584,466584,0.0,0.0
4,4896,2,0,466584,466584,0.0,0.0
4,4882,2,0,466584,466584,0.0,0.0
4,4873,2,0,466584,466584,0.0,0.0
4,4903,2,0,466584,466584,0.0,0.0
4,4873,2,0,466584,466584,0.0,0.0
4,4907,2,0,466584,466584,0.0,0.0
