event_bits,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,1,9634,-9796,284400.0,1,3,2,86752,1,1735083,0,0.0,0
1048832,0,0,0,1,1,9623,-9830,284400.0,1,3,2,86753,1,1735103,0,0.0,0
1048832,0,0,0,1,1,9653,-9850,284400.0,1,3,2,86754,1,1735123,0,0.0,0
1048832,0,0,0,1,1,9651,-9859,284400.0,1,3,2,86755,1,1735143,0,0.0,0
1048832,0,0,0,1,1,9703,-9880,284400.0,1,3,2,86756,1,1735163,0,0.0,0
1048832,0,0,0,1,1,9674,-9888,284400.0,1,3,2,86757,1,1735183,0,0.0,0
1048832,0,0,0,1,1,9693,-9890,284400.0,1,3,2,86758,1,1735203,0,0.0,0
1048832,0,0,0,1,1,9682,-9884,284400.0,1,3,2,86759,1,1735223,0,0.0,0
1048832,0,0,0,1,1,9676,-9894,284400.0,1,3,2,86760,1,1735243,0,0.0,0
1048832,0,0,0,1,1,9720,-9882,284400.0,1,3,2,86761,1,1735263,0,0.0,0
1048832,0,0,0,1,1,9688,-9873,284400.0,1,3,2,86762,1,1735283,0,0.0,0
1048832,0,0,0,1,1,9697,-9888,284400.0,1,3,2,86763,1,1735303,0,0.0,0
1048832,0,0,0,1,1,9713,-9882,284400.0,1,3,2,86764,1,1735323,0,0.0,0
1048832,0,0,0,1,1,9684,-9859,284400.0,1,3,2,86765,1,1735343,0,0.0,0
1048832,0,0,0,1,1,9711,-9886,284400.0,1,3,2,86766,1,1735363,0,0.0,0
1048832,0,0,0,1,1,9703,-9899,284400.0,1,3,2,86767,1,1735383,0,0.0,0
1048832,0,0,0,1,1,9682,-9899,284400.0,1,3,2,86768,1,1735403,0,0.0,0
1048832,0,0,0,1,1,9713,-9920,284400.0,1,3,2,86769,1,1735423,0,0.0,0
1048832,0,0,0,1,1,9707,-9911,284400.0,1,3,2,86770,1,1735443,0,0.0,0
1048832,0,0,0,1,1,9667,-9890,284400.0,1,3,2,86771,1,1735463,0,0.0,0
1048832,0,0,0,1,1,9709,-9882,284400.0,1,3,2,86772,1,1735483,0,0.0,0
1048832,0,0,0,1,1,9703,-9897,284400.0,1,3,2,86773,1,1735503,0,0.0,0
