event_bits,evt_pause_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,1,1,0.0,1,3,2,67927,0,1358583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67928,0,1358603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67929,0,1358623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67930,0,1358643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67931,0,1358663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67932,0,1358683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67933,0,1358703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67934,0,1358723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67935,0,1358743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67936,0,1358763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67937,0,1358783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67938,0,1358803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67939,0,1358823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67940,0,1358843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67941,0,1358863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67942,0,1358883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67943,0,1358903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67944,0,1358923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67945,0,1358943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67946,0,1358963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67947,0,1358983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67948,0,1359003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67949,0,1359023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67950,0,1359043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67951,0,1359063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67952,0,1359083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67953,0,1359103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67954,0,1359123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67955,0,1359143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67956,0,1359163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67957,0,1359183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67958,0,1359203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67959,0,1359223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67960,0,1359243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67961,0,1359263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67962,0,1359283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67963,0,1359303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67964,0,1359323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67965,0,1359343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67966,0,1359363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67967,0,1359383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67968,0,1359403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67969,0,1359423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67970,0,1359443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67971,0,1359463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67972,0,1359483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67973,0,1359503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67974,0,1359523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67975,0,1359543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67976,0,1359563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67977,0,1359583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67978,0,1359603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67979,0,1359623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67980,0,1359643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67981,0,1359663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67982,0,1359683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67983,0,1359703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67984,0,1359723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67985,0,1359743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67986,0,1359763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67987,0,1359783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67988,0,1359803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67989,0,1359823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67990,0,1359843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67991,0,1359863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67992,0,1359883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67993,0,1359903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67994,0,1359923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67995,0,1359943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67996,0,1359963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67997,0,1359983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67998,0,1360003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67999,0,1360023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68000,0,1360043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68001,0,1360063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68002,0,1360083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68003,0,1360103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68004,0,1360123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68005,0,1360143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68006,0,1360163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68007,0,1360183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68008,0,1360203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68009,0,1360223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68010,0,1360243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68011,0,1360263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68012,0,1360283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68013,0,1360303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68014,0,1360323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68015,0,1360343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68016,0,1360363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68017,0,1360383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68018,0,1360403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68019,0,1360423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68020,0,1360443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68021,0,1360463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68022,0,1360483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68023,0,1360503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68024,0,1360523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68025,0,1360543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,68026,0,1360563,0,0.0,0
