event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_ch3,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70868,0,1417403,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70869,0,1417423,0,0.0,0
1048832,0,0,1,1,0,-9,0.0,1,0,3,2,70870,0,1417443,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70871,0,1417463,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70872,0,1417483,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70873,0,1417503,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70874,0,1417523,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70875,0,1417543,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70876,0,1417563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70877,0,1417583,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70878,0,1417603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70879,0,1417623,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70880,0,1417643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70881,0,1417663,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70882,0,1417683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70883,0,1417703,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,0,3,2,70884,0,1417723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70885,0,1417743,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70886,0,1417763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70887,0,1417783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70888,0,1417803,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70889,0,1417823,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,0,3,2,70890,0,1417843,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,0,3,2,70891,0,1417863,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,0,3,2,70892,0,1417883,0,0.0,0
