event_bits,evt_cmd_high_freq_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,0,3,2,54829,0,1096623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54830,0,1096643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54831,0,1096663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54832,0,1096683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54833,0,1096703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54834,0,1096723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54835,0,1096743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54836,0,1096763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54837,0,1096783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54838,0,1096803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54839,0,1096823,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54840,0,1096843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54841,0,1096863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54842,0,1096883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54843,0,1096903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54844,0,1096923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54845,0,1096943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54846,0,1096963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54847,0,1096983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54848,0,1097003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54849,0,1097023,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54850,0,1097043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54851,0,1097063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54852,0,1097083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54853,0,1097103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54854,0,1097123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54855,0,1097143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54856,0,1097163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54857,0,1097183,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54858,0,1097203,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54859,0,1097223,0,0.0,0
