accel_toe,bat_pct,bullet_cnt,cali_step,ch_mode,ch_yaw,ch_yaw_set,chassis_ok,dbus_toe,drop,event_bits,ff_b_hat,ff_k_hat,fric1_cur,fric1_rpm,fric2_cur,fric2_rpm,fric_set,gimbal_ok,gyro_toe,high_freq,i1,i2,i3,i4,key_v,local_heat,mouse_x,mouse_y,pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,pitch_toe,rc_ch0,rc_ch1,rc_ch2,rc_ch3,rc_s0,rc_s1,ref_toe,rel,rel_set,seq,shoot_mode,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set,vx_set,vy_set,wz_set,yaw_abs,yaw_abs_set,yaw_cur,yaw_gyro,yaw_gyro_set,yaw_mode,yaw_rel,yaw_rel_set,yaw_toe
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37626,0,767582,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.001,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37627,0,767602,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.006,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37628,0,767622,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.002,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37629,0,767642,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.007,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37630,0,767662,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.001,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37631,0,767682,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,30,-3,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37632,0,767702,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37633,0,767722,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.003,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37634,0,767743,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.004,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37635,0,767764,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.003,0.0,0,0.434,-0.27,0
0,95,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37636,0,767785,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,98,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37637,0,767806,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.003,0.0,0,0.434,-0.27,0
0,98,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37638,0,767827,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.003,0.0,0,0.434,-0.27,0
0,98,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37639,0,767848,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,98,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37640,0,767869,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,98,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37641,0,767889,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.002,0.0,0,0.434,-0.27,0
0,96,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37642,0,767909,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.004,0.0,0,0.434,-0.27,0
0,96,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37643,0,767929,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,96,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37644,0,767949,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,96,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37645,0,767969,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.002,0.0,0,0.434,-0.27,0
0,96,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37646,0,767989,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.003,0.0,0,0.434,-0.27,0
0,97,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37647,0,768009,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,-0.003,0.0,0,0.434,-0.27,0
0,97,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37648,0,768029,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.004,0.0,0,0.434,-0.27,0
0,97,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37649,0,768049,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.001,0.0,0,0.434,-0.27,0
0,97,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37650,0,768070,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.0,0.0,0,0.434,-0.27,0
0,97,0,0,3,0.27,0.0,1,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,-0.197,1.584,0,0,0,0,0,0,0,1,-0.27,0.0,37651,0,768090,0,3721,0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0,0.003,0.0,0,0.434,-0.27,0
