pitch_cur,pitch_mode,pitch_rel,pitch_rel_set,rc_ch1,rc_ch3
6481,2,-0.229,-0.196,0,0
6483,2,-0.229,-0.196,0,0
6485,2,-0.229,-0.196,0,0
6487,2,-0.229,-0.196,0,0
6488,2,-0.229,-0.196,0,0
6491,2,-0.229,-0.196,0,0
6493,2,-0.229,-0.196,0,0
6495,2,-0.229,-0.196,0,0
6497,2,-0.229,-0.196,0,0
6498,2,-0.229,-0.196,0,0
6500,2,-0.229,-0.196,0,0
6502,2,-0.229,-0.196,0,0
6504,2,-0.229,-0.196,0,0
6507,2,-0.229,-0.196,0,0
6509,2,-0.229,-0.196,0,0
6511,2,-0.229,-0.196,0,0
6513,2,-0.229,-0.196,0,0
6515,2,-0.229,-0.196,0,0
6517,2,-0.229,-0.196,0,0
6518,2,-0.229,-0.196,0,0
6519,2,-0.229,-0.196,0,0
6522,2,-0.229,-0.196,0,0
6523,2,-0.229,-0.196,0,0
6526,2,-0.229,-0.196,0,0
6528,2,-0.229,-0.196,0,0
6530,2,-0.229,-0.196,0,0
6532,2,-0.229,-0.196,0,0
6534,2,-0.229,-0.196,0,0
6536,2,-0.229,-0.196,0,0
6538,2,-0.229,-0.196,0,0
6540,2,-0.229,-0.196,0,0
6542,2,-0.229,-0.196,0,0
6544,2,-0.229,-0.196,0,0
6546,2,-0.229,-0.196,0,0
6548,2,-0.229,-0.196,0,0
6550,2,-0.229,-0.196,0,0
6552,2,-0.229,-0.196,0,0
6554,2,-0.229,-0.196,0,0
6556,2,-0.229,-0.196,0,0
6558,2,-0.229,-0.196,0,0
6560,2,-0.229,-0.196,0,0
6562,2,-0.229,-0.196,0,0
6564,2,-0.229,-0.196,0,0
6565,2,-0.229,-0.196,0,0
6568,2,-0.229,-0.196,0,0
6570,2,-0.229,-0.196,0,0
6572,2,-0.229,-0.196,0,0
6574,2,-0.229,-0.196,0,0
6576,2,-0.229,-0.196,0,0
6578,2,-0.229,-0.196,0,0
6580,2,-0.229,-0.196,0,0
6582,2,-0.229,-0.196,0,0
6584,2,-0.229,-0.196,0,0
6586,2,-0.229,-0.196,0,0
6588,2,-0.229,-0.196,0,0
6590,2,-0.229,-0.196,0,0
6592,2,-0.229,-0.196,0,0
6594,2,-0.229,-0.196,0,0
6596,2,-0.229,-0.196,0,0
6598,2,-0.229,-0.196,0,0
6600,2,-0.229,-0.196,0,0
6602,2,-0.229,-0.196,0,0
6604,2,-0.229,-0.196,0,0
6606,2,-0.229,-0.196,0,0
6607,2,-0.229,-0.196,0,0
6609,2,-0.229,-0.196,0,0
6611,2,-0.229,-0.196,0,0
6613,2,-0.229,-0.196,0,0
6615,2,-0.229,-0.196,0,0
6617,2,-0.229,-0.196,0,0
