fric_set,key_v,mouse_x,mouse_y,pitch_rel,shoot_mode,vx_set,vy_set,wz_set,yaw_abs
0.0,0,0,-1,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,0,-1,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,1,-3,0.025,0,0.0,0.0,1.484,-0.009
0.0,0,40,-7,0.024,0,0.0,0.0,1.484,-0.009
0.0,0,40,-7,0.023,0,0.0,0.0,1.472,-0.01
0.0,0,64,-6,0.021,0,0.0,0.0,1.417,-0.014
0.0,0,64,-6,0.017,0,0.0,0.0,1.3,-0.026
0.0,0,54,0,0.012,0,0.0,0.0,1.085,-0.053
0.0,0,40,6,0.006,0,0.0,0.0,0.649,-0.098
0.0,0,40,6,-0.002,0,0.0,0.0,-0.295,-0.163
0.0,0,40,6,-0.011,0,0.0,0.0,-1.732,-0.239
0.0,0,40,6,-0.019,0,0.0,0.0,-3.0,-0.319
0.0,0,40,6,-0.025,0,0.0,0.0,-3.0,-0.396
0.0,0,0,0,-0.029,0,0.0,0.0,-3.0,-0.463
0.0,0,0,0,-0.029,0,0.0,0.0,-3.0,-0.514
0.0,0,7,3,-0.027,0,0.0,0.0,-3.0,-0.543
0.0,0,7,3,-0.024,0,0.0,0.0,-3.0,-0.549
0.0,0,7,3,-0.019,0,0.0,0.0,-3.0,-0.541
0.0,0,27,-13,-0.014,0,0.0,0.0,-3.0,-0.532
0.0,0,27,-13,-0.01,0,0.0,0.0,-3.0,-0.526
0.0,0,46,-24,-0.008,0,0.0,0.0,-3.0,-0.527
0.0,0,24,-16,-0.008,0,0.0,0.0,-3.0,-0.534
0.0,0,24,-16,-0.013,0,0.0,0.0,-3.0,-0.548
0.0,0,0,0,-0.026,0,0.0,0.0,-3.0,-0.567
0.0,0,0,0,-0.046,0,0.0,0.0,-3.0,-0.591
0.0,0,0,0,-0.07,0,0.0,0.0,-3.0,-0.614
0.0,0,-6,0,-0.1,0,0.0,0.0,-3.0,-0.632
0.0,0,-6,0,-0.132,0,0.0,0.0,-3.0,-0.644
0.0,0,-9,1,-0.166,0,0.0,0.0,-3.0,-0.648
0.0,0,-9,1,-0.197,0,0.0,0.0,-3.0,-0.645
0.0,0,-12,3,-0.229,0,0.0,0.0,-3.0,-0.643
0.0,0,-27,3,-0.253,0,0.0,0.0,-3.0,-0.643
0.0,0,-27,3,-0.263,0,0.0,0.0,-3.0,-0.641
0.0,0,-27,3,-0.261,0,0.0,0.0,-3.0,-0.635
0.0,0,-27,3,-0.256,0,0.0,0.0,-3.0,-0.622
0.0,0,-49,0,-0.246,0,0.0,0.0,-3.0,-0.6
0.0,0,-40,0,-0.238,0,0.0,0.0,-3.0,-0.565
0.0,0,-40,0,-0.232,0,0.0,0.0,-3.0,-0.516
0.0,0,-40,0,-0.224,0,0.0,0.0,-3.0,-0.457
0.0,0,-40,0,-0.216,0,0.0,0.0,-3.0,-0.396
0.0,0,-40,0,-0.206,0,0.0,0.0,-3.0,-0.336
0.0,0,-40,0,-0.197,0,0.0,0.0,-2.687,-0.28
0.0,0,-40,0,-0.187,0,0.0,0.0,-2.306,-0.229
0.0,8,-6,0,-0.176,0,-0.01,-0.086,-1.932,-0.186
0.0,8,-6,0,-0.167,0,-0.014,-0.168,-1.668,-0.153
0.0,8,-12,-1,-0.155,0,-0.016,-0.245,-1.521,-0.132
0.0,8,-12,-1,-0.143,0,-0.019,-0.318,-1.49,-0.126
0.0,8,-12,-1,-0.133,0,-0.024,-0.386,-1.515,-0.127
0.0,8,-10,-1,-0.124,0,-0.029,-0.451,-1.521,-0.128
0.0,8,-10,-1,-0.117,0,-0.032,-0.512,-1.503,-0.126
0.0,8,-9,-3,-0.113,0,-0.036,-0.569,-1.509,-0.125
0.0,8,-9,-3,-0.111,0,-0.039,-0.623,-1.509,-0.125
0.0,8,-7,-1,-0.113,0,-0.041,-0.674,-1.49,-0.123
0.0,8,-7,-1,-0.115,0,-0.041,-0.721,-1.46,-0.119
0.0,8,-4,-1,-0.119,0,-0.037,-0.767,-1.392,-0.112
0.0,8,-4,-3,-0.125,0,-0.031,-0.81,-1.312,-0.103
0.0,8,-4,-3,-0.133,0,-0.022,-0.85,-1.208,-0.093
0.0,2,-3,-1,-0.141,0,-0.224,0.003,-1.116,-0.082
0.0,2,-3,-1,-0.148,0,-0.424,0.001,-1.036,-0.072
0.0,2,-1,0,-0.16,0,-0.601,-0.003,-0.94,-0.063
0.0,2,-1,0,-0.167,0,-0.758,-0.008,-0.859,-0.057
0.0,2,-1,0,-0.174,0,-0.898,-0.011,-0.779,-0.054
0.0,2,-1,0,-0.184,0,-1.022,-0.013,-0.713,-0.054
0.0,2,-3,-1,-0.19,0,-1.132,-0.014,-0.647,-0.053
0.0,2,-3,-1,-0.197,0,-1.229,-0.016,-0.581,-0.053
0.0,2,-3,-1,-0.203,0,-1.316,-0.017,-0.515,-0.053
