event_bits,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_fn1_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84211,0,1684263,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84212,0,1684283,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84213,0,1684303,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84214,0,1684323,0,0.0,0
1048832,0,0,0,1,0,1,-7,0,0.0,1,3,2,84215,0,1684343,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84216,0,1684363,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84217,0,1684383,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84218,0,1684403,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84219,0,1684423,0,0.0,0
1048832,0,0,0,1,0,1,-5,0,0.0,1,3,2,84220,0,1684443,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84221,0,1684463,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84222,0,1684483,0,0.0,0
1048832,0,0,0,1,0,1,0,2,0.0,1,3,2,84223,0,1684503,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84224,0,1684523,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84225,0,1684543,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84226,0,1684563,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84227,0,1684583,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84228,0,1684603,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84229,0,1684623,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84230,0,1684643,0,0.0,0
1048832,0,0,0,1,0,1,0,2,0.0,1,3,2,84231,0,1684663,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84232,0,1684683,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84233,0,1684703,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84234,0,1684723,0,0.0,0
1048832,0,0,0,1,0,1,0,2,0.0,1,3,2,84235,0,1684743,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84236,0,1684763,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84237,0,1684783,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84238,0,1684803,0,0.0,0
1048832,0,0,0,1,0,1,0,-5,0.0,1,3,2,84239,0,1684823,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84240,0,1684843,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84241,0,1684863,0,0.0,0
1048832,0,0,0,1,0,1,-3,2,0.0,1,3,2,84242,0,1684883,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84243,0,1684903,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84244,0,1684923,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84245,0,1684943,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84246,0,1684963,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84247,0,1684983,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84248,0,1685003,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84249,0,1685023,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84250,0,1685043,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84251,0,1685063,0,0.0,0
1048832,0,0,0,1,0,1,0,2,0.0,1,3,2,84252,0,1685083,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84253,0,1685103,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84254,0,1685123,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84255,0,1685143,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84256,0,1685163,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84257,0,1685183,0,0.0,0
1048832,0,0,0,1,0,1,0,2,0.0,1,3,2,84258,0,1685203,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84259,0,1685223,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84260,0,1685243,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84261,0,1685263,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84262,0,1685283,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84263,0,1685303,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84264,0,1685323,0,0.0,0
1048832,0,0,0,1,0,1,2,-3,0.0,1,3,2,84265,0,1685343,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84266,0,1685363,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84267,0,1685383,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84268,0,1685403,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84269,0,1685423,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84270,0,1685443,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84271,0,1685463,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84272,0,1685483,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84273,0,1685503,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84274,0,1685523,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84275,0,1685543,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84276,0,1685563,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84277,0,1685583,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84278,0,1685603,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84279,0,1685623,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84280,0,1685643,0,0.0,0
1048832,0,0,0,1,0,1,-5,0,0.0,1,3,2,84281,0,1685663,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84282,0,1685683,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84283,0,1685703,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84284,0,1685723,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84285,0,1685743,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84286,0,1685763,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84287,0,1685783,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84288,0,1685803,0,0.0,0
1048832,0,0,0,1,0,1,-5,-5,0.0,1,3,2,84289,0,1685823,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84290,0,1685843,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84291,0,1685863,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84292,0,1685883,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84293,0,1685903,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84294,0,1685923,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84295,0,1685943,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84296,0,1685963,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84297,0,1685983,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84298,0,1686003,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84299,0,1686023,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84300,0,1686043,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84301,0,1686063,0,0.0,0
1048832,0,0,0,1,0,1,-5,0,0.0,1,3,2,84302,0,1686083,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84303,0,1686103,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84304,0,1686123,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84305,0,1686143,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84306,0,1686163,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84307,0,1686183,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84308,0,1686203,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84309,0,1686223,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84310,0,1686243,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84311,0,1686263,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84312,0,1686283,0,0.0,0
1048832,0,0,0,1,0,1,-5,2,0.0,1,3,2,84313,0,1686303,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84314,0,1686323,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84315,0,1686343,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84316,0,1686363,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84317,0,1686383,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84318,0,1686403,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84319,0,1686423,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84320,0,1686443,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84321,0,1686463,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84322,0,1686483,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84323,0,1686503,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,0.0,1,3,2,84324,0,1686523,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84325,0,1686543,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84326,0,1686563,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84327,0,1686583,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84328,0,1686603,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84329,0,1686623,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84330,0,1686643,0,0.0,0
1048832,0,0,0,1,0,1,0,-5,0.0,1,3,2,84331,0,1686663,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84332,0,1686683,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84333,0,1686703,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84334,0,1686723,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84335,0,1686743,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84336,0,1686763,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84337,0,1686783,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84338,0,1686803,0,0.0,0
1048832,0,0,0,1,0,1,0,-3,0.0,1,3,2,84339,0,1686823,0,0.0,0
1048832,0,0,0,1,0,1,-3,0,0.0,1,3,2,84340,0,1686843,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84341,0,1686863,0,0.0,0
1048832,0,0,0,1,0,1,0,0,0.0,1,3,2,84342,0,1686883,0,0.0,0
1049344,0,0,1,1,0,1,0,0,0.0,1,3,2,84343,0,1686903,0,0.0,0
1049344,0,0,1,1,0,1,0,0,0.0,1,3,2,84344,0,1686923,0,0.0,0
1049344,0,0,1,1,0,1,-5,0,0.0,1,3,2,84345,0,1686943,0,0.0,0
1049344,0,0,1,1,0,1,0,-3,0.0,1,3,2,84346,0,1686963,0,0.0,0
1049344,0,0,1,1,0,1,0,0,0.0,1,3,2,84347,0,1686983,0,0.0,0
1049344,0,0,1,1,0,1,0,0,0.0,1,3,2,84348,0,1687003,0,0.0,0
1049344,0,0,1,1,0,1,-3,0,0.0,1,3,2,84349,0,1687023,0,0.0,0
1048832,0,0,0,1,0,1,-3,-3,284400.0,1,3,2,84350,1,1687043,0,0.0,0
1048832,0,0,0,1,0,1,721,-750,284400.0,1,3,2,84351,1,1687063,0,0.0,0
1048832,0,0,0,1,0,1,1579,-1553,284400.0,1,3,2,84352,1,1687083,0,0.0,0
1048832,0,0,0,1,0,1,2546,-2359,284400.0,1,3,2,84353,1,1687103,0,0.0,0
1048832,0,0,0,1,0,1,3390,-3292,284400.0,1,3,2,84354,1,1687123,0,0.0,0
1048832,0,0,0,1,0,1,4239,-4054,284400.0,1,3,2,84355,1,1687143,0,0.0,0
1048832,0,0,0,1,0,1,5126,-4878,284400.0,1,3,2,84356,1,1687163,0,0.0,0
1048832,0,0,0,1,0,1,5986,-5764,284400.0,1,3,2,84357,1,1687183,0,0.0,0
1048832,0,0,0,1,0,1,6817,-6590,284400.0,1,3,2,84358,1,1687203,0,0.0,0
1048832,0,0,0,1,0,1,7654,-7457,284400.0,1,3,2,84359,1,1687223,0,0.0,0
1048832,0,0,0,1,0,1,8295,-8128,284400.0,1,3,2,84360,1,1687243,0,0.0,0
