event_bits,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_fn1_cur,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,1,1,9686,-9903,311400.0,1,3,2,89446,1,1788963,0,0.0,0
1048832,0,0,0,0,0,1,1,9693,-9880,311400.0,1,3,2,89447,1,1788983,0,0.0,0
1048832,0,0,0,0,0,1,1,9667,-9888,311400.0,1,3,2,89448,1,1789003,0,0.0,0
1048832,0,0,0,0,0,1,1,9711,-9867,311400.0,1,3,2,89449,1,1789023,0,0.0,0
1048832,0,0,0,0,0,1,1,9684,-9863,311400.0,1,3,2,89450,1,1789043,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9871,311400.0,1,3,2,89451,1,1789063,0,0.0,0
1048832,0,0,0,0,0,1,1,9693,-9869,311400.0,1,3,2,89452,1,1789083,0,0.0,0
1048832,0,0,0,0,0,1,1,9672,-9857,311400.0,1,3,2,89453,1,1789103,0,0.0,0
1048832,0,0,0,0,0,1,1,9711,-9884,311400.0,1,3,2,89454,1,1789123,0,0.0,0
1049856,0,0,0,0,1,1,1,9682,-9890,311400.0,1,3,2,89455,1,1789143,0,0.0,0
1049856,0,0,0,0,1,1,1,9674,-9888,311400.0,1,3,2,89456,1,1789163,0,0.0,0
1049856,0,0,0,0,1,1,1,9705,-9903,311400.0,1,3,2,89457,1,1789183,0,0.0,0
1049856,0,0,0,0,1,1,1,9672,-9913,311400.0,1,3,2,89458,1,1789203,0,0.0,0
1049856,0,0,0,0,1,1,1,9676,-9907,311400.0,1,3,2,89459,1,1789223,0,0.0,0
1049856,0,0,0,0,1,1,1,9693,-9899,311400.0,1,3,2,89460,1,1789243,0,0.0,0
1049856,0,0,0,0,1,1,1,9670,-9901,311400.0,1,3,2,89461,1,1789263,0,0.0,0
1049856,0,0,0,0,1,1,1,9711,-9867,311400.0,1,3,2,89462,1,1789283,0,0.0,0
1049856,0,0,0,0,1,1,1,9684,-9865,311400.0,1,3,2,89463,1,1789303,0,0.0,0
1049856,0,0,0,0,1,1,1,9678,-9871,311400.0,1,3,2,89464,1,1789323,0,0.0,0
1048832,0,0,0,0,0,1,1,9707,-9869,311400.0,1,3,2,89465,1,1789343,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9855,311400.0,1,3,2,89466,1,1789363,0,0.0,0
1048832,0,0,0,0,0,1,1,9703,-9880,311400.0,1,3,2,89467,1,1789383,0,0.0,0
1048832,0,0,0,0,0,1,1,9688,-9888,311400.0,1,3,2,89468,1,1789403,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9884,311400.0,1,3,2,89469,1,1789423,0,0.0,0
1048832,0,0,0,0,0,1,1,9718,-9899,311400.0,1,3,2,89470,1,1789443,0,0.0,0
1048832,0,0,0,0,0,1,1,9686,-9915,311400.0,1,3,2,89471,1,1789463,0,0.0,0
1048832,0,0,0,0,0,1,1,9686,-9909,311400.0,1,3,2,89472,1,1789483,0,0.0,0
1048832,0,0,0,0,0,1,1,9705,-9899,311400.0,1,3,2,89473,1,1789503,0,0.0,0
1048832,0,0,0,0,0,1,1,9678,-9901,311400.0,1,3,2,89474,1,1789523,0,0.0,0
1048832,0,0,0,0,0,1,1,9697,-9897,311400.0,1,3,2,89475,1,1789543,0,0.0,0
1048832,0,0,0,0,0,1,1,9688,-9878,311400.0,1,3,2,89476,1,1789563,0,0.0,0
1048832,0,0,0,0,0,1,1,9676,-9871,311400.0,1,3,2,89477,1,1789583,0,0.0,0
1048832,0,0,0,0,0,1,1,9713,-9869,311400.0,1,3,2,89478,1,1789603,0,0.0,0
1048832,0,0,0,0,0,1,1,9684,-9857,311400.0,1,3,2,89479,1,1789623,0,0.0,0
1048832,0,0,0,0,0,1,1,9686,-9880,311400.0,1,3,2,89480,1,1789643,0,0.0,0
1048832,0,0,0,0,0,1,1,9688,-9886,311400.0,1,3,2,89481,1,1789663,0,0.0,0
