shoot_mode,trigger_cur,trigger_spd,trigger_spd_set
2,-512,-6.514,-13.0
2,-522,-6.473,-13.0
2,-546,-6.394,-13.0
2,-561,-6.377,-13.0
2,-632,-6.174,-13.0
2,-697,-6.075,-13.0
2,-739,-6.115,-13.0
2,-744,-6.267,-13.0
2,-782,-6.235,-13.0
2,-805,-6.258,-13.0
2,-791,-6.422,-13.0
2,-767,-6.552,-13.0
2,-747,-6.612,-13.0
2,-731,-6.608,-13.0
2,-739,-6.53,-13.0
2,-732,-6.554,-13.0
2,-746,-6.487,-13.0
2,-742,-6.506,-13.0
2,-718,-6.587,-13.0
2,-715,-6.566,-13.0
2,-733,-6.465,-13.0
2,-747,-6.425,-13.0
2,-737,-6.492,-13.0
2,-714,-6.595,-13.0
2,-679,-6.689,-13.0
2,-625,-6.805,-13.0
2,-575,-6.839,-13.0
2,-556,-6.756,-13.0
2,-546,-6.687,-13.0
2,-549,-6.582,-13.0
2,-583,-6.413,-13.0
2,-598,-6.389,-13.0
2,-621,-6.362,-13.0
2,-628,-6.399,-13.0
2,-623,-6.458,-13.0
2,-603,-6.553,-13.0
2,-610,-6.51,-13.0
2,-621,-6.465,-13.0
2,-634,-6.419,-13.0
2,-639,-6.447,-13.0
2,-634,-6.493,-13.0
2,-623,-6.545,-13.0
2,-581,-6.672,-13.0
2,-534,-6.762,-13.0
2,-513,-6.728,-13.0
2,-499,-6.679,-13.0
2,-513,-6.533,-13.0
2,-496,-6.571,-13.0
2,-509,-6.489,-13.0
2,-537,-6.395,-13.0
2,-573,-6.298,-13.0
2,-600,-6.284,-13.0
2,-663,-6.144,-13.0
2,-719,-6.1,-13.0
2,-745,-6.184,-13.0
2,-736,-6.358,-13.0
2,-725,-6.476,-13.0
2,-715,-6.519,-13.0
2,-682,-6.631,-13.0
2,-639,-6.731,-13.0
2,-626,-6.676,-13.0
2,-642,-6.529,-13.0
2,-673,-6.387,-13.0
2,-745,-6.169,-13.0
2,0,-6.059,0.0
2,0,-5.261,0.0
2,0,-4.189,0.0
2,0,-3.048,0.0
2,0,-1.953,0.0
2,0,-0.884,0.0
