fric1_rpm,fric_set,i1,i2,i3,i4,key_v,pitch_cur,shoot_mode,yaw_cur
0,0.0,263,257,213,423,0,-1076,0,755
0,0.0,288,232,69,304,0,-1107,0,758
0,0.0,314,103,252,269,0,-1094,0,788
0,0.0,263,194,213,86,0,-1080,0,797
0,0.0,215,259,59,232,0,-1069,0,810
-3,0.0,121,28,215,207,0,-1057,0,831
0,0.0,408,140,421,207,0,-1044,0,853
0,0.0,194,63,263,173,0,-1033,0,858
0,0.0,300,413,70,173,0,-1022,0,869
0,0.0,131,113,1,317,0,-1010,0,903
0,0.0,287,294,225,292,0,-998,0,937
0,0.0,362,76,500,473,0,-987,0,919
0,0.0,206,151,264,86,0,-975,0,940
0,0.0,156,113,157,55,0,-964,0,946
0,0.0,194,244,58,254,0,-952,0,986
0,0.0,406,219,145,186,0,-941,0,983
0,0.0,312,219,238,254,0,-930,0,984
0,0.0,300,182,326,98,0,-918,0,1001
0,0.0,219,325,170,398,0,-907,0,1019
0,0.0,219,350,120,242,0,-895,0,1016
0,0.0,219,100,95,342,0,-884,0,1054
0,0.0,157,113,226,42,0,-873,0,1027
0,0.0,288,219,369,373,0,-861,0,1078
0,0.0,275,232,226,136,0,-850,0,1058
0,0.0,325,113,263,148,0,-835,0,1092
0,0.0,194,181,95,198,0,-872,0,1089
0,0.0,338,244,145,485,0,-814,0,1119
0,0.0,132,50,157,305,0,-802,0,1123
0,0.0,338,113,288,199,0,-836,0,1131
0,0.0,-2235,-2054,-1749,-2074,2048,0,0,0
0,0.0,-190,-340,-116,-17,2048,0,0,0
0,0.0,326,269,131,319,2048,0,0,0
0,0.0,183,114,119,175,2048,0,0,0
0,0.0,264,195,168,175,2048,0,0,0
0,0.0,239,182,143,232,2048,0,0,0
0,0.0,221,139,180,200,2048,0,0,0
0,0.0,221,182,180,200,0,0,0,0
0,0.0,221,151,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
0,0.0,221,164,180,200,0,0,0,0
