event_bits,evt_cmd_burst_toggle,evt_cmd_high_freq_toggle,evt_cmd_reverse_trigger,evt_cmd_shoot_toggle,evt_cmd_vt03_trigger,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_fn2_cur,evt_pause_cur,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,key_v,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
256,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-3,0.0,1,0,2,2,29577,0,591583,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29578,0,591603,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29579,0,591623,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29580,0,591643,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29581,0,591663,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-3,0.0,1,0,2,2,29582,0,591683,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29583,0,591703,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,0.0,1,0,2,2,29584,0,591723,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29585,0,591743,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29586,0,591763,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29587,0,591783,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29588,0,591803,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-3,0.0,1,0,2,2,29589,0,591823,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29590,0,591843,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29591,0,591863,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29592,0,591883,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0.0,1,0,2,2,29593,0,591903,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29594,0,591923,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29595,0,591943,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29596,0,591963,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29597,0,591983,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29598,0,592003,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29599,0,592023,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29600,0,592043,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,2,2,29601,0,592063,0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0.0,1,0,2,2,29602,0,592083,0,0.0,0
