event_bits,evt_cmd_burst_toggle,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,59476,0,1189563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59477,0,1189583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59478,0,1189603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59479,0,1189623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59480,0,1189643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59481,0,1189663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59482,0,1189683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59483,0,1189703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59484,0,1189723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59485,0,1189743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59486,0,1189763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59487,0,1189783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59488,0,1189803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59489,0,1189823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59490,0,1189843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59491,0,1189863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59492,0,1189883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59493,0,1189903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59494,0,1189923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59495,0,1189943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59496,0,1189963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59497,0,1189983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59498,0,1190003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59499,0,1190023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59500,0,1190043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,59501,0,1190063,0,0.0,0
