dbus_toe,fric1_rpm,fric2_rpm,fric_set,shoot_mode
1,2703,-2756,0.0,0
1,2634,-2773,0.0,0
1,2611,-2771,0.0,0
1,2594,-2729,0.0,0
1,2573,-2763,0.0,0
1,2563,-2690,0.0,0
1,2559,-2658,0.0,0
1,2542,-2706,0.0,0
1,2540,-2643,0.0,0
1,2519,-2627,0.0,0
1,2500,-2650,0.0,0
1,2481,-2610,0.0,0
1,2463,-2620,0.0,0
1,2473,-2633,0.0,0
1,2460,-2629,0.0,0
1,2433,-2608,0.0,0
1,2404,-2577,0.0,0
1,2414,-2549,0.0,0
1,2391,-2501,0.0,0
1,2402,-2541,0.0,0
1,2391,-2501,0.0,0
1,2337,-2436,0.0,0
1,2337,-2495,0.0,0
1,2339,-2457,0.0,0
1,2318,-2443,0.0,0
1,2283,-2382,0.0,0
1,2268,-2405,0.0,0
1,2295,-2397,0.0,0
1,2264,-2390,0.0,0
1,2243,-2388,0.0,0
1,2222,-2363,0.0,0
1,2234,-2369,0.0,0
1,2220,-2342,0.0,0
1,2178,-2336,0.0,0
1,2182,-2284,0.0,0
1,2170,-2325,0.0,0
1,2153,-2307,0.0,0
1,2132,-2261,0.0,0
1,2124,-2252,0.0,0
1,2098,-2229,0.0,0
1,2113,-2200,0.0,0
1,2082,-2206,0.0,0
1,2073,-2206,0.0,0
1,2080,-2189,0.0,0
1,2054,-2189,0.0,0
1,2031,-2164,0.0,0
1,2017,-2133,0.0,0
1,2002,-2152,0.0,0
1,1985,-2120,0.0,0
1,1975,-2106,0.0,0
1,1948,-2101,0.0,0
1,1948,-2070,0.0,0
1,1969,-2062,0.0,0
1,1916,-2070,0.0,0
1,1910,-2047,0.0,0
1,1921,-2022,0.0,0
1,1872,-2030,0.0,0
1,1874,-2016,0.0,0
1,1818,-1978,0.0,0
1,1847,-1997,0.0,0
1,1828,-1953,0.0,0
1,1797,-1936,0.0,0
1,1776,-1957,0.0,0
1,1778,-1955,0.0,0
1,1766,-1915,0.0,0
1,1761,-1873,0.0,0
1,1734,-1871,0.0,0
1,1732,-1861,0.0,0
1,1692,-1875,0.0,0
1,1695,-1821,0.0,0
1,1701,-1825,0.0,0
1,1676,-1869,0.0,0
1,1661,-1813,0.0,0
1,1644,-1800,0.0,0
1,1646,-1762,0.0,0
1,1651,-1783,0.0,0
1,1611,-1781,0.0,0
1,1542,-1806,0.0,0
1,1613,-1750,0.0,0
1,1567,-1742,0.0,0
1,1550,-1698,0.0,0
1,1584,-1731,0.0,0
1,1546,-1668,0.0,0
1,1489,-1683,0.0,0
1,1529,-1683,0.0,0
1,1508,-1708,0.0,0
1,1492,-1614,0.0,0
1,1462,-1583,0.0,0
1,1483,-1583,0.0,0
1,1410,-1603,0.0,0
1,1450,-1576,0.0,0
1,1454,-1555,0.0,0
1,1372,-1580,0.0,0
1,1420,-1576,0.0,0
1,1422,-1524,0.0,0
1,1404,-1564,0.0,0
1,1318,-1503,0.0,0
1,1293,-1459,0.0,0
1,1324,-1451,0.0,0
1,1370,-1509,0.0,0
1,1337,-1459,0.0,0
