bullet_cnt,fric1_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
12,4856,21.665,2,0,486561,477430,0.0
12,4888,21.425,4,10000,487522,514294,0.908
12,4888,21.185,4,10000,498335,514294,12.628
13,4821,30.945,6,-10000,518561,514294,22.247
13,4790,30.705,6,-10000,533775,514294,15.344
13,4833,30.465,6,-10000,533913,514294,-1.179
13,4863,30.225,6,-10000,511938,514294,-14.916
13,4892,29.985,6,10000,508274,514294,-0.855
13,4871,29.745,6,-10000,521672,514294,5.167
13,4900,29.505,2,0,517091,514294,-5.502
13,4882,29.265,2,0,518615,514294,1.861
13,4877,29.025,2,0,519641,514294,1.032
13,4898,28.785,2,0,519874,514294,0.19
13,4875,28.545,2,0,519829,514294,-0.056
13,4905,28.305,2,0,519830,514294,0.002
13,4867,28.065,2,0,519830,514294,0.0
13,4900,27.825,2,0,519832,514294,0.0
13,4894,27.585,2,0,519832,514294,0.0
13,4882,27.345,2,0,519832,514294,0.0
13,4867,27.105,2,0,519832,514294,0.0
13,4898,26.865,2,0,519834,514294,0.0
13,4879,26.625,2,0,519834,514294,0.0
13,4875,26.385,2,0,519834,514294,0.0
13,4905,26.145,2,0,519834,514294,0.0
13,4877,25.905,2,0,519834,514294,0.0
13,4907,25.665,2,0,519834,514294,0.0
13,4871,25.425,2,0,519838,514294,0.004
13,4900,25.185,2,0,519838,514294,0.0
13,4894,24.945,2,0,519838,514294,0.0
13,4882,24.705,2,0,519838,514294,0.0
13,4913,24.465,4,10000,523816,551158,4.707
13,4844,24.225,4,10000,539195,551158,17.32
14,4614,33.985,6,-10000,561622,551158,24.551
14,4764,33.745,6,-10000,573737,551158,11.898
14,4879,33.505,6,-10000,570274,551158,-4.972
14,4907,33.265,6,-10000,554092,551158,-17.853
14,4877,33.025,6,-10000,552482,551158,0.39
14,4882,32.785,2,0,551327,551158,-2.463
14,4903,32.545,2,0,551745,551158,1.144
14,4844,32.305,2,0,554146,551158,2.632
14,4909,32.065,2,0,555207,551158,0.998
14,4869,31.825,2,0,555413,551158,0.162
14,4884,31.585,2,0,555398,551158,-0.031
14,4917,31.345,2,0,555400,551158,0.001
14,4852,31.105,2,0,555404,551158,0.004
14,4900,30.865,2,0,555404,551158,0.0
14,4865,30.625,2,0,555406,551158,0.001
14,4871,30.385,2,0,555408,551158,0.0
14,4926,30.145,2,0,555408,551158,0.0
14,4869,29.905,2,0,555408,551158,0.0
14,4909,29.665,2,0,555408,551158,0.0
14,4871,29.425,4,10000,557905,588022,3.037
14,4854,29.185,4,10000,571737,588022,15.712
15,4689,38.945,6,-10000,594275,588022,24.796
15,4773,38.705,6,-10000,601997,588022,15.874
15,4852,38.465,6,-10000,601944,588022,-1.533
15,4888,38.225,6,-10000,588317,588022,-15.556
15,4863,37.985,6,10000,570428,588022,-7.985
15,4913,37.745,6,10000,583593,588022,15.148
15,4871,37.505,6,-10000,600518,588022,18.243
15,4875,37.265,2,0,600917,588022,-0.77
15,4677,37.025,2,0,593707,588022,-7.551
15,4844,36.785,2,0,587859,588022,-6.088
15,4844,36.545,2,0,583040,588022,-5.039
15,4867,36.305,2,0,579059,588022,-4.19
15,4903,36.065,2,0,575733,588022,-3.539
15,4867,35.825,2,0,573027,588022,-2.831
15,4909,35.585,2,0,570885,588022,-2.252
15,4882,35.345,2,0,569236,588022,-1.635
15,4888,35.105,2,0,568247,588022,-1.026
15,4875,34.865,2,0,567779,588022,-0.47
15,4900,34.625,2,0,567721,588022,-0.029
15,4882,34.385,2,0,567722,588022,0.003
15,4890,34.145,2,0,567722,588022,0.0
15,4886,33.905,2,0,567724,588022,0.0
15,4875,33.665,2,0,567728,588022,0.0
15,4903,33.425,2,0,567731,588022,0.0
15,4867,33.185,2,0,567740,588022,0.007
15,4911,32.945,2,0,567740,588022,0.0
15,4886,32.705,2,0,567750,588022,0.008
15,4882,32.465,2,0,567761,588022,0.008
15,4911,32.225,4,10000,568572,624886,0.708
15,4842,31.985,4,10000,580280,624886,13.062
15,4894,31.745,4,10000,601238,624886,23.008
16,4714,41.505,6,-10000,631119,624886,32.461
16,4618,41.265,6,-10000,656838,624886,26.605
16,4787,41.025,6,-10000,664500,624886,7.354
16,4861,40.785,6,-10000,657674,624886,-8.222
16,4892,40.545,6,-10000,640872,624886,-19.458
16,4867,40.305,6,-10000,644608,624886,5.766
16,4915,40.065,2,0,644432,624886,-0.064
16,4869,39.825,2,0,646695,624886,2.593
16,4871,39.585,2,0,640632,624886,2.063
16,4892,39.345,2,0,641623,624886,0.992
16,4877,39.105,2,0,641831,624886,0.167
16,4903,38.865,2,0,641806,624886,-0.039
16,4882,38.625,2,0,641809,624886,0.001
16,4886,38.385,2,0,641810,624886,0.0
16,4892,38.145,2,0,641812,624886,0.001
16,4875,37.904,2,0,641812,624886,0.0
16,4905,37.664,2,0,641812,624886,0.0
16,4869,37.424,2,0,641812,624886,0.0
16,4907,37.184,2,0,641812,624886,0.0
16,4890,36.944,2,0,641812,624886,0.0
16,4882,36.704,2,0,641812,624886,0.0
16,4877,36.464,2,0,641812,624886,0.0
16,4905,36.224,2,0,641813,624886,0.0
16,4879,35.984,4,10000,646620,661750,5.726
17,4882,45.744,6,10000,662725,661750,17.717
17,4697,45.504,6,-10000,678569,661750,16.187
17,4842,45.264,6,-10000,679468,661750,-0.267
17,4838,45.024,6,-10000,667223,661750,-13.75
17,4879,44.784,6,10000,645583,661750,-23.938
17,4890,44.544,6,10000,635225,661750,-10.338
17,4856,44.304,6,10000,638822,661750,4.696
17,4923,44.064,6,10000,653532,661750,16.179
17,4769,43.824,6,-10000,676420,661750,24.208
