shoot_mode,trigger_spd,trigger_spd_set,trigger_ecd_fdb,trigger_ecd_set,bullet_cnt,trigger_cur,trigger_sw,reverse_flag,local_heat,referee_heat
2,35.878,-7701.783,17715,0,0,-8000,0,0,0.0,0
2,27.046,-8000.0,43892,0,0,-8000,0,0,0.0,0
2,11.151,-8000.0,55182,0,0,-8000,0,0,0.0,0
2,-2.476,-8000.0,53643,0,0,-8000,0,0,0.0,0
2,-14.38,-8000.0,40834,0,0,-8000,0,0,0.0,0
2,-26.128,-7382.983,16918,0,0,-8000,0,0,0.0,0
2,-37.811,6193.26,-17695,0,0,8000,0,0,0.0,0
2,-32.16,8000.0,-56639,0,0,8000,0,0,0.0,0
2,-14.503,8000.0,-79731,0,0,8000,0,0,0.0,0
2,-0.162,8000.0,-80842,0,0,8000,0,0,0.0,0
2,11.623,8000.0,-70560,0,0,8000,0,0,0.0,0
2,22.828,8000.0,-50049,0,0,8000,0,0,0.0,0
2,33.678,6695.26,-18950,0,0,8000,0,0,0.0,0
2,44.059,-8000.0,21711,0,0,-8000,0,0,0.0,0
2,37.196,-8000.0,56850,0,0,-8000,0,0,0.0,0
2,17.974,-8000.0,67793,0,0,-8000,0,0,0.0,0
2,2.09,-8000.0,70901,0,0,-8000,0,0,0.0,0
2,-10.134,-8000.0,62254,0,0,-8000,0,0,0.0,0
2,-21.799,-8000.0,42453,0,0,-8000,0,0,0.0,0
2,-33.591,-5516.716,12132,0,0,-8000,0,0,0.0,0
2,-43.442,8000.0,-28032,0,0,8000,0,0,0.0,0
2,-32.296,8000.0,-59338,0,0,8000,0,0,0.0,0
2,-13.238,8000.0,-81434,0,0,8000,0,0,0.0,0
2,0.749,8000.0,-81682,0,0,8000,0,0,0.0,0
2,12.32,8000.0,-62495,0,0,8000,0,0,0.0,0
2,23.436,8000.0,-40975,0,0,8000,0,0,0.0,0
2,34.63,3040.247,-9333,0,0,8000,0,0,0.0,0
2,41.975,-8000.0,29617,0,0,-8000,0,0,0.0,0
2,30.211,-8000.0,58774,0,0,-8000,0,0,0.0,0
2,12.619,-8000.0,71697,0,0,-8000,0,0,0.0,0
2,-1.805,-8000.0,70961,0,0,-8000,0,0,0.0,0
2,-13.707,-8000.0,58620,0,0,-8000,0,0,0.0,0
2,-25.455,-8000.0,26845,0,0,-8000,0,0,0.0,0
2,-37.661,2220.138,-7961,0,0,8000,0,0,0.0,0
2,-38.382,8000.0,-43539,0,0,8000,0,0,0.0,0
2,-21.156,8000.0,-64336,0,0,8000,0,0,0.0,0
2,-5.357,8000.0,-70087,0,0,8000,0,0,0.0,0
2,6.756,8000.0,-64236,0,0,8000,0,0,0.0,0
2,17.888,8000.0,-55056,0,0,8000,0,0,0.0,0
2,30.033,8000.0,-27597,0,0,8000,0,0,0.0,0
2,40.202,-7966.508,17775,0,0,-8000,0,0,0.0,0
2,32.628,-8000.0,49024,0,0,-8000,0,0,0.0,0
2,15.563,-8000.0,64702,0,0,-8000,0,0,0.0,0
2,0.944,-8000.0,66713,0,0,-8000,0,0,0.0,0
2,-11.199,-8000.0,64538,0,0,-8000,0,0,0.0,0
2,-23.209,-8000.0,51478,0,0,-8000,0,0,0.0,0
2,-35.376,-8000.0,18923,0,0,-8000,0,0,0.0,0
2,-46.54,8000.0,-24262,0,0,8000,0,0,0.0,0
2,-38.963,8000.0,-61226,0,0,8000,0,0,0.0,0
2,-18.219,8000.0,-79384,0,0,8000,0,0,0.0,0
2,-2.855,8000.0,-83021,0,0,8000,0,0,0.0,0
2,8.837,8000.0,-75382,0,0,8000,0,0,0.0,0
2,19.885,8000.0,-57337,0,0,8000,0,0,0.0,0
2,31.31,7157.108,-20611,0,0,8000,0,0,0.0,0
2,42.013,-8000.0,19824,0,0,-8000,0,0,0.0,0
2,35.204,-8000.0,53347,0,0,-8000,0,0,0.0,0
2,17.536,-8000.0,70788,0,0,-8000,0,0,0.0,0
2,2.291,-8000.0,73799,0,0,-8000,0,0,0.0,0
2,-9.647,-8000.0,65264,0,0,-8000,0,0,0.0,0
