bullet_cnt,rc_s0,rc_s1,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set
38,3,2,5,867,2816121,2674089,15.0
38,3,2,5,859,2831728,2674089,15.0
39,3,2,5,918,2846678,2674089,15.0
39,3,2,5,995,2861092,2674089,15.0
40,3,2,5,1072,2874936,2674089,15.0
40,3,2,5,1167,2888586,2674089,15.0
40,3,2,5,1221,2902144,2674089,15.0
41,3,2,5,1236,2916409,2674089,15.0
41,3,2,5,1216,2930262,2674089,15.0
42,3,2,2,0,2944342,2944342,0.0
42,3,2,2,0,2957817,2957817,0.0
42,3,2,2,0,2970219,2970219,0.0
42,3,2,2,0,2981550,2981550,0.0
42,3,2,2,0,2991495,2991495,0.0
42,3,2,2,0,3000214,3000214,0.0
42,3,2,2,0,3006978,3006978,0.0
42,3,2,2,0,3012275,3012275,0.0
42,3,2,2,0,3016185,3016185,0.0
42,3,2,2,0,3019004,3019004,0.0
42,3,2,2,0,3020717,3020717,0.0
42,3,2,2,0,3021384,3021384,0.0
42,3,2,2,0,3021387,3021387,0.0
42,3,2,2,0,3021384,3021384,0.0
42,3,2,2,0,3021382,3021382,0.0
42,3,2,2,0,3021378,3021378,0.0
42,3,2,2,0,3021374,3021374,0.0
42,3,2,2,0,3021373,3021373,0.0
42,3,2,2,0,3021369,3021369,0.0
42,3,2,2,0,3021366,3021366,0.0
42,3,2,2,0,3021365,3021365,0.0
42,3,2,2,0,3021361,3021361,0.0
42,3,2,2,0,3021361,3021361,0.0
42,3,2,2,0,3021357,3021357,0.0
42,3,2,2,0,3021356,3021356,0.0
42,3,2,2,0,3021354,3021354,0.0
42,3,2,5,-1277,3021337,3021352,15.0
42,3,2,5,-259,3020881,3021352,15.0
42,3,2,5,725,3020201,3021352,15.0
42,3,2,5,1598,3019780,3021352,15.0
42,3,2,5,2268,3020394,3021352,15.0
42,3,2,5,2581,3023179,3021352,15.0
42,3,2,5,2684,3028387,3021352,15.0
42,3,2,5,2600,3036532,3021352,15.0
42,3,2,5,2420,3046701,3021352,15.0
43,3,2,2,0,3059019,3059019,0.0
43,3,2,2,0,3070783,3070783,0.0
43,3,2,2,0,3081351,3081351,0.0
43,3,2,2,0,3090393,3090393,0.0
43,3,2,2,0,3097923,3097923,0.0
43,3,2,2,0,3104049,3104049,0.0
43,3,2,2,0,3116512,3116512,0.0
43,3,2,2,0,3119322,3119322,0.0
43,3,2,2,0,3120610,3120610,0.0
43,3,2,2,0,3120655,3120655,0.0
43,3,2,2,0,3120645,3120645,0.0
43,3,2,2,0,3120620,3120620,0.0
43,3,2,2,0,3120561,3120561,0.0
43,3,2,2,0,3120562,3120562,0.0
43,3,2,2,0,3120562,3120562,0.0
43,3,2,2,0,3120560,3120560,0.0
43,3,2,2,0,3120557,3120557,0.0
43,3,2,2,0,3120552,3120552,0.0
43,3,2,2,0,3120552,3120552,0.0
43,3,2,2,0,3120548,3120548,0.0
43,3,2,2,0,3120548,3120548,0.0
43,3,2,2,0,3120543,3120543,0.0
43,3,2,2,0,3120543,3120543,0.0
43,3,2,2,0,3120543,3120543,0.0
43,3,2,2,0,3120543,3120543,0.0
43,3,2,2,0,3120543,3120543,0.0
43,3,2,2,0,3120543,3120543,0.0
43,3,2,2,0,3120540,3120540,0.0
43,3,2,2,0,3120540,3120540,0.0
43,3,2,2,0,3120540,3120540,0.0
43,3,2,2,0,3120540,3120540,0.0
43,3,2,2,0,3120540,3120540,0.0
43,3,2,2,0,3120540,3120540,0.0
43,3,2,5,1378,3120542,3120540,15.0
43,3,2,5,2236,3120711,3120540,15.0
43,3,2,5,2792,3122220,3120540,15.0
43,3,2,5,2945,3126362,3120540,15.0
43,3,2,5,2894,3133176,3120540,15.0
43,3,2,5,2691,3142718,3120540,15.0
44,3,2,2,0,3154510,3154510,0.0
44,3,2,2,0,3167199,3167199,0.0
44,3,2,2,0,3177468,3177468,0.0
44,3,2,2,0,3185860,3185860,0.0
44,3,2,2,0,3192463,3192463,0.0
44,3,2,2,0,3197323,3197323,0.0
44,3,2,2,0,3200566,3200566,0.0
44,3,2,2,0,3202406,3202406,0.0
44,3,2,2,0,3202912,3202912,0.0
44,3,2,2,0,3202900,3202900,0.0
44,3,2,2,0,3202891,3202891,0.0
44,3,2,2,0,3202891,3202891,0.0
44,3,2,2,0,3202888,3202888,0.0
44,3,2,2,0,3202886,3202886,0.0
44,3,2,2,0,3202881,3202881,0.0
44,3,2,2,0,3202877,3202877,0.0
44,3,2,2,0,3202876,3202876,0.0
44,3,2,2,0,3202873,3202873,0.0
44,3,2,2,0,3202872,3202872,0.0
44,3,2,2,0,3202872,3202872,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202867,3202867,0.0
44,3,2,2,0,3202864,3202864,0.0
44,3,2,2,0,3202864,3202864,0.0
44,3,2,2,0,3202864,3202864,0.0
44,3,2,2,0,3202864,3202864,0.0
44,3,2,2,0,3202864,3202864,0.0
44,3,2,2,0,3202864,3202864,0.0
44,3,2,5,1590,3202864,3202864,15.0
44,3,2,5,2467,3202979,3202864,15.0
44,3,2,5,3022,3204413,3202864,15.0
44,3,2,5,3144,3208570,3202864,15.0
44,3,2,5,3021,3215802,3202864,15.0
44,3,2,5,2757,3225880,3202864,15.0
45,3,2,2,0,3238200,3238200,0.0
45,3,2,2,0,3251133,3251133,0.0
45,3,2,2,0,3271628,3271628,0.0
45,3,2,2,0,3282040,3282040,0.0
45,3,2,2,0,3291217,3291217,0.0
45,3,2,2,0,3298930,3298930,0.0
45,3,2,2,0,3305053,3305053,0.0
45,3,2,2,0,3309700,3309700,0.0
45,3,2,2,0,3313022,3313022,0.0
45,3,2,2,0,3315203,3315203,0.0
45,3,2,2,0,3316377,3316377,0.0
45,3,2,2,0,3316559,3316559,0.0
45,3,2,2,0,3316557,3316557,0.0
45,3,2,2,0,3316555,3316555,0.0
45,3,2,2,0,3316551,3316551,0.0
45,3,2,2,0,3316548,3316548,0.0
45,3,2,2,0,3316547,3316547,0.0
45,3,2,2,0,3316540,3316540,0.0
45,3,2,2,0,3316533,3316533,0.0
45,3,2,2,0,3316523,3316523,0.0
45,3,2,2,0,3316475,3316475,0.0
