bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set
35,0.0,1,0,6481504,6465944
35,0.0,1,0,6481504,6465944
35,0.0,1,0,6481504,6465944
35,0.0,1,0,6481504,6465944
35,0.0,1,0,6481504,6465944
35,0.0,2,1029,6481511,6481511
35,0.0,2,1028,6481690,6481690
35,0.0,2,1026,6482245,6482245
35,0.0,2,1021,6483902,6483902
35,0.0,2,1017,6486490,6486490
35,0.0,2,1013,6489793,6489793
35,0.0,2,1009,6494083,6494083
35,0.0,2,1006,6499005,6499005
35,0.0,2,1003,6504635,6504635
35,0.0,2,999,6511039,6511039
35,0.0,2,976,6517934,6517934
35,0.0,2,920,6525522,6525522
35,0.0,2,849,6533036,6533036
35,0.0,2,773,6540612,6540612
35,0.0,2,707,6547884,6547884
35,0.0,2,661,6554867,6554867
35,0.0,2,646,6553091,6553091
35,0.0,2,667,6559235,6559235
35,0.0,2,716,6565066,6565066
35,0.0,2,778,6570578,6570578
35,0.0,2,848,6576083,6576083
35,0.0,2,914,6581668,6581668
35,0.0,2,967,6587720,6587720
35,0.0,2,1002,6593843,6593843
35,0.0,2,1000,6599952,6599952
35,0.0,2,999,6606372,6606372
35,0.0,2,984,6613006,6613006
35,0.0,2,943,6628509,6628509
35,0.0,2,890,6627836,6627836
35,0.0,2,832,6635064,6635064
35,0.0,2,772,6642394,6642394
35,0.0,2,714,6649869,6649869
35,0.0,2,673,6656780,6656780
35,0.0,2,659,6663262,6663262
35,0.0,2,676,6669276,6669276
35,0.0,2,707,6675081,6675081
35,0.0,2,739,6681009,6681009
35,0.0,2,761,6687278,6687278
35,0.0,2,769,6693583,6693583
35,0.0,2,769,6700189,6700189
35,0.0,2,758,6706987,6706987
35,0.0,2,739,6713900,6713900
35,0.0,2,722,6720945,6720945
35,0.0,2,717,6727628,6727628
35,0.0,2,715,6734237,6734237
35,0.0,2,717,6740761,6740761
35,0.0,2,719,6747538,6747538
35,0.0,2,726,6761977,6761977
35,0.0,2,734,6767998,6767998
35,0.0,2,744,6774139,6774139
35,0.0,2,755,6780315,6780315
35,0.0,2,774,6786348,6786348
35,0.0,2,790,6792464,6792464
35,0.0,2,800,6798925,6798925
35,0.0,2,812,6805110,6805110
35,0.0,2,824,6811261,6811261
35,0.0,2,826,6817609,6817609
35,0.0,2,824,6824244,6824244
35,0.0,2,823,6830647,6830647
35,0.0,2,817,6837118,6837118
35,0.0,2,809,6843915,6843915
35,0.0,2,803,6850474,6850474
35,0.0,2,802,6857087,6857087
35,0.0,2,806,6863615,6863615
35,0.0,2,813,6870350,6870350
35,0.0,2,825,6876697,6876697
35,0.0,2,834,6883148,6883148
35,0.0,2,849,6889470,6889470
35,0.0,2,871,6895434,6895434
35,0.0,2,907,6901221,6901221
35,0.0,2,948,6906879,6906879
35,0.0,2,985,6912707,6912707
35,0.0,2,1000,6919159,6919159
35,0.0,2,988,6925811,6925811
35,0.0,2,953,6932872,6932872
35,0.0,2,900,6940015,6940015
35,0.0,2,834,6947462,6947462
35,0.0,2,760,6954981,6954981
35,0.0,2,694,6962552,6962552
35,0.0,2,654,6969673,6969673
35,0.0,2,647,6976236,6976236
35,0.0,2,659,6982600,6982600
35,0.0,2,681,6980622,6980622
35,0.0,2,710,6986973,6986973
35,0.0,2,743,6993107,6993107
35,0.0,2,770,6999263,6999263
35,0.0,2,789,7005342,7005342
35,0.0,2,798,7011802,7011802
35,0.0,2,804,7018376,7018376
35,0.0,2,803,7025051,7025051
35,0.0,2,791,7031828,7031828
35,0.0,2,771,7038509,7038509
35,0.0,2,741,7045370,7045370
35,0.0,2,705,7052576,7052576
35,0.0,2,672,7059455,7059455
35,0.0,2,649,7066059,7066059
35,0.0,2,647,7072341,7072341
35,0.0,2,661,7086611,7086611
35,0.0,2,688,7092514,7092514
35,0.0,2,730,7098194,7098194
35,0.0,2,781,7103942,7103942
35,0.0,2,827,7109844,7109844
35,0.0,2,868,7115812,7115812
35,0.0,2,903,7121920,7121920
35,0.0,2,922,7128310,7128310
35,0.0,2,921,7135161,7135161
35,0.0,2,904,7142072,7142072
35,0.0,5,1056,7149311,7142072
35,0.0,5,1054,7148555,7142072
35,0.0,5,1051,7156554,7142072
35,0.0,5,1049,7164967,7142072
35,0.0,5,1048,7173677,7142072
36,9.855,5,1047,7183325,7142072
36,9.531,5,1047,7184215,7142072
36,9.207,5,1046,7193491,7142072
36,8.871,5,1044,7203461,7142072
36,8.535,5,1042,7213840,7142072
37,18.2,5,1040,7224633,7142072
37,17.876,5,1038,7235939,7142072
37,17.54,5,1036,7247659,7142072
38,27.204,5,1034,7259660,7142072
38,26.868,5,1031,7272463,7142072
39,36.52,5,1028,7295005,7142072
39,36.172,5,1026,7309292,7142072
40,45.824,5,1025,7332292,7142072
40,45.476,5,1023,7347291,7142072
40,45.139,5,1021,7362329,7142072
41,54.803,5,1019,7378302,7142072
41,54.467,5,1018,7393919,7142072
42,64.143,5,1017,7409354,7142072
