evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set,vt03_toe
0,1,0,1,9492,-9698,93400.0,3,2,146581,2931663,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9658,93400.0,3,2,146582,2931683,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9685,93400.0,3,2,146583,2931703,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9677,93400.0,3,2,146584,2931723,0,27960368,27960356,0.0,0
0,1,0,1,9473,-9662,93400.0,3,2,146585,2931743,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9700,93400.0,3,2,146586,2931763,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9643,93400.0,3,2,146587,2931783,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9685,93400.0,3,2,146588,2931803,0,27960368,27960356,0.0,0
0,1,1,1,9479,-9656,93400.0,3,2,146589,2931823,0,27960368,27960356,0.0,0
0,1,1,1,9483,-9683,93400.0,3,2,146590,2931843,0,27960368,27960356,0.0,0
0,1,1,1,9471,-9673,93400.0,3,2,146591,2931863,0,27960368,27960356,0.0,0
0,1,1,1,9471,-9652,93400.0,3,2,146592,2931883,0,27960368,27960356,0.0,0
0,1,1,1,9454,-9685,93400.0,3,2,146593,2931903,0,27960368,27960356,0.0,0
0,1,1,1,9471,-9658,93400.0,3,2,146594,2931923,0,27960368,27960356,0.0,0
0,1,1,1,9485,-9700,93400.0,3,2,146595,2931943,0,27960368,27960356,0.0,0
0,1,1,1,9506,-9647,93400.0,3,2,146596,2931963,0,27960368,27960356,0.0,0
0,1,1,1,9481,-9681,93400.0,3,2,146597,2931983,0,27960368,27960356,0.0,0
0,1,0,1,9458,-9673,93400.0,3,2,146598,2932003,0,27960368,27960356,0.0,0
0,1,0,1,9446,-9675,93400.0,3,2,146599,2932023,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9691,93400.0,3,2,146600,2932043,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9645,93400.0,3,2,146601,2932063,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9694,93400.0,3,2,146602,2932083,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9662,93400.0,3,2,146603,2932103,0,27960368,27960356,0.0,0
0,1,0,1,9494,-9671,93400.0,3,2,146604,2932123,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9662,93400.0,3,2,146605,2932143,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9656,93400.0,3,2,146606,2932163,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9698,93400.0,3,2,146607,2932183,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9660,93400.0,3,2,146608,2932203,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9691,93400.0,3,2,146609,2932223,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9650,93400.0,3,2,146610,2932243,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9689,93400.0,3,2,146611,2932263,0,27960368,27960356,0.0,0
0,1,0,1,9494,-9666,93400.0,3,2,146612,2932283,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9662,93400.0,3,2,146613,2932303,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9664,93400.0,3,2,146614,2932323,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9647,93400.0,3,2,146615,2932343,0,27960368,27960356,0.0,0
0,1,0,1,9450,-9694,93400.0,3,2,146616,2932363,0,27960368,27960356,0.0,0
0,1,0,1,9454,-9647,93400.0,3,2,146617,2932383,0,27960368,27960356,0.0,0
0,1,0,1,9475,-9677,93400.0,3,2,146618,2932403,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9671,93400.0,3,2,146619,2932423,0,27960368,27960356,0.0,0
0,1,0,1,9502,-9675,93400.0,3,2,146620,2932443,0,27960368,27960356,0.0,0
0,1,0,1,9494,-9677,93400.0,3,2,146621,2932463,0,27960368,27960356,0.0,0
0,1,0,1,9473,-9635,93400.0,3,2,146622,2932483,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9687,93400.0,3,2,146623,2932503,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9654,93400.0,3,2,146624,2932523,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9691,93400.0,3,2,146625,2932543,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9643,93400.0,3,2,146626,2932563,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9675,93400.0,3,2,146627,2932583,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9668,93400.0,3,2,146628,2932603,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9673,93400.0,3,2,146629,2932623,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9677,93400.0,3,2,146630,2932643,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9639,93400.0,3,2,146631,2932663,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9691,93400.0,3,2,146632,2932683,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9654,93400.0,3,2,146633,2932703,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9675,93400.0,3,2,146634,2932723,0,27960368,27960356,0.0,0
0,1,0,1,9481,-9650,93400.0,3,2,146635,2932743,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9656,93400.0,3,2,146636,2932763,0,27960368,27960356,0.0,0
0,1,0,1,9506,-9689,93400.0,3,2,146637,2932783,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9660,93400.0,3,2,146638,2932803,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9689,93400.0,3,2,146639,2932823,0,27960368,27960356,0.0,0
0,1,0,1,9448,-9641,93400.0,3,2,146640,2932843,0,27960368,27960356,0.0,0
0,1,0,1,9443,-9694,93400.0,3,2,146641,2932863,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9656,93400.0,3,2,146642,2932883,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9679,93400.0,3,2,146643,2932903,0,27960368,27960356,0.0,0
0,1,0,1,9506,-9654,93400.0,3,2,146644,2932923,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9660,93400.0,3,2,146645,2932943,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9689,93400.0,3,2,146646,2932963,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9641,93400.0,3,2,146647,2932983,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9685,93400.0,3,2,146648,2933003,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9656,93400.0,3,2,146649,2933023,0,27960368,27960356,0.0,0
0,1,1,1,9481,-9683,93400.0,3,2,146650,2933043,0,27960368,27960356,0.0,0
0,1,1,1,9481,-9668,93400.0,3,2,146651,2933063,0,27960368,27960356,0.0,0
0,1,1,1,9492,-9647,93400.0,3,2,146652,2933083,0,27960368,27960356,0.0,0
0,1,1,1,9481,-9685,93400.0,3,2,146653,2933103,0,27960368,27960356,0.0,0
0,1,1,1,9479,-9658,93400.0,3,2,146654,2933123,0,27960368,27960356,0.0,0
0,1,1,1,9481,-9698,93400.0,3,2,146655,2933143,0,27960368,27960356,0.0,0
0,1,1,1,9471,-9645,93400.0,3,2,146656,2933163,0,27960368,27960356,0.0,0
0,1,1,1,9471,-9683,93400.0,3,2,146657,2933183,0,27960368,27960356,0.0,0
0,1,1,1,9471,-9662,93400.0,3,2,146658,2933203,0,27960368,27960356,0.0,0
0,1,1,1,9487,-9677,93400.0,3,2,146659,2933223,0,27960368,27960356,0.0,0
0,1,0,1,9508,-9679,93400.0,3,2,146660,2933243,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9643,93400.0,3,2,146661,2933263,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9689,93400.0,3,2,146662,2933283,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9664,93400.0,3,2,146663,2933303,0,27960368,27960356,0.0,0
0,1,0,1,9446,-9675,93400.0,3,2,146664,2933323,0,27960368,27960356,0.0,0
0,1,0,1,9456,-9664,93400.0,3,2,146665,2933343,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9654,93400.0,3,2,146666,2933363,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9702,93400.0,3,2,146667,2933383,0,27960368,27960356,0.0,0
0,1,0,1,9504,-9660,93400.0,3,2,146668,2933403,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9698,93400.0,3,2,146669,2933423,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9654,93400.0,3,2,146670,2933443,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9691,93400.0,3,2,146671,2933463,0,27960368,27960356,0.0,0
0,1,0,1,9462,-9673,93400.0,3,2,146672,2933483,0,27960368,27960356,0.0,0
0,1,0,1,9467,-9658,93400.0,3,2,146673,2933503,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9673,93400.0,3,2,146674,2933523,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9645,93400.0,3,2,146675,2933543,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9698,93400.0,3,2,146676,2933563,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9654,93400.0,3,2,146677,2933583,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9691,93400.0,3,2,146678,2933603,0,27960368,27960356,0.0,0
0,1,0,1,9479,-9683,93400.0,3,2,146679,2933623,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9668,93400.0,3,2,146680,2933643,0,27960368,27960356,0.0,0
0,1,0,1,9452,-9689,93400.0,3,2,146681,2933663,0,27960368,27960356,0.0,0
0,1,0,1,9458,-9635,93400.0,3,2,146682,2933683,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9685,93400.0,3,2,146683,2933703,0,27960368,27960356,0.0,0
0,1,0,1,9498,-9656,93400.0,3,2,146684,2933723,0,27960368,27960356,0.0,0
0,1,0,1,9500,-9687,93400.0,3,2,146685,2933743,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9660,93400.0,3,2,146686,2933763,0,27960368,27960356,0.0,0
0,1,0,1,9471,-9662,93400.0,3,2,146687,2933783,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9689,93400.0,3,2,146688,2933803,0,27960368,27960356,0.0,0
0,1,0,1,9460,-9666,93400.0,3,2,146689,2933823,0,27960368,27960356,0.0,0
0,1,0,1,9477,-9696,93400.0,3,2,146690,2933843,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9639,93400.0,3,2,146691,2933863,0,27960368,27960356,0.0,0
0,1,0,1,9487,-9685,93400.0,3,2,146692,2933883,0,27960368,27960356,0.0,0
0,1,0,1,9490,-9666,93400.0,3,2,146693,2933903,0,27960368,27960356,0.0,0
0,1,0,1,9475,-9683,93400.0,3,2,146694,2933923,0,27960368,27960356,0.0,0
0,1,0,1,9473,-9679,93400.0,3,2,146695,2933943,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9643,93400.0,3,2,146696,2933963,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9696,93400.0,3,2,146697,2933983,0,27960368,27960356,0.0,0
0,1,0,1,9464,-9656,93400.0,3,2,146698,2934003,0,27960368,27960356,0.0,0
0,1,0,1,9469,-9683,93400.0,3,2,146699,2934023,0,27960368,27960356,0.0,0
0,1,0,1,9483,-9668,93400.0,3,2,146700,2934043,0,27960368,27960356,0.0,0
0,1,0,1,9492,-9673,93400.0,3,2,146701,2934063,0,27960368,27960356,0.0,0
0,1,0,1,9506,-9691,93400.0,3,2,146702,2934083,0,27960368,27960356,0.0,0
0,1,0,1,9485,-9645,93400.0,3,2,146703,2934103,0,27960368,27960356,0.0,0
