event_bits,evt_dial_neg,evt_dial_pos,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0,0,0.0,1,3,2,73001,0,1460063,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73002,0,1460083,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73003,0,1460103,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73004,0,1460123,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73005,0,1460143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73006,0,1460163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73007,0,1460183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73008,0,1460203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73009,0,1460223,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73010,0,1460243,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73011,0,1460263,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73012,0,1460283,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73013,0,1460303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73014,0,1460323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73015,0,1460343,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73016,0,1460363,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73017,0,1460383,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73018,0,1460403,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73019,0,1460423,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73020,0,1460443,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73021,0,1460463,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73022,0,1460483,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73023,0,1460503,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73024,0,1460523,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73025,0,1460543,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73026,0,1460563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73027,0,1460583,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73028,0,1460603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73029,0,1460623,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73030,0,1460643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73031,0,1460663,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73032,0,1460683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73033,0,1460703,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73034,0,1460723,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73035,0,1460743,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73036,0,1460763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73037,0,1460783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73038,0,1460803,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73039,0,1460823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73040,0,1460843,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73041,0,1460863,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73042,0,1460883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73043,0,1460903,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73044,0,1460923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73045,0,1460943,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73046,0,1460963,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73047,0,1460983,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73048,0,1461003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73049,0,1461023,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73050,0,1461043,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73051,0,1461063,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73052,0,1461083,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73053,0,1461103,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73054,0,1461123,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73055,0,1461143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73056,0,1461163,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73057,0,1461183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73058,0,1461203,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73059,0,1461223,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73060,0,1461243,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73061,0,1461263,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73062,0,1461283,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73063,0,1461303,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73064,0,1461323,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73065,0,1461343,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73066,0,1461363,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73067,0,1461383,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73068,0,1461403,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73069,0,1461423,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73070,0,1461443,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73071,0,1461463,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73072,0,1461483,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73073,0,1461503,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73074,0,1461523,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73075,0,1461543,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73076,0,1461563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73077,0,1461583,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73078,0,1461603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73079,0,1461623,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73080,0,1461643,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73081,0,1461663,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73082,0,1461683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73083,0,1461703,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73084,0,1461723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73085,0,1461743,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73086,0,1461763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73087,0,1461783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73088,0,1461803,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73089,0,1461823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73090,0,1461843,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73091,0,1461863,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73092,0,1461883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73093,0,1461903,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73094,0,1461923,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73095,0,1461943,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73096,0,1461963,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73097,0,1461983,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73098,0,1462003,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73099,0,1462023,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73100,0,1462043,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73101,0,1462063,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73102,0,1462083,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73103,0,1462103,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73104,0,1462123,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73105,0,1462143,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73106,0,1462163,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73107,0,1462183,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73108,0,1462203,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73109,0,1462223,0,0.0,0
1048832,0,0,1,1,0,2,0.0,1,3,2,73110,0,1462243,0,0.0,0
1573120,1,0,1,1,0,2,0.0,1,3,2,73111,0,1462263,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73112,0,1462283,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73113,0,1462303,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73114,0,1462323,0,0.0,0
1573120,1,0,1,1,0,-5,0.0,1,3,2,73115,0,1462343,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73116,0,1462363,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73117,0,1462383,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73118,0,1462403,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73119,0,1462423,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73120,0,1462443,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73121,0,1462463,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73122,0,1462483,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73123,0,1462503,0,0.0,0
1573120,1,0,1,1,0,2,0.0,1,3,2,73124,0,1462523,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73125,0,1462543,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73126,0,1462563,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73127,0,1462583,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73128,0,1462603,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73129,0,1462623,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73130,0,1462643,0,0.0,0
1573120,1,0,1,1,0,2,0.0,1,3,2,73131,0,1462663,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73132,0,1462683,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73133,0,1462703,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73134,0,1462723,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73135,0,1462743,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73136,0,1462763,0,0.0,0
1573120,1,0,1,1,0,-5,0.0,1,3,2,73137,0,1462783,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73138,0,1462803,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73139,0,1462823,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73140,0,1462843,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73141,0,1462863,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73142,0,1462883,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73143,0,1462903,0,0.0,0
1573120,1,0,1,1,0,2,0.0,1,3,2,73144,0,1462923,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73145,0,1462943,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73146,0,1462963,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73147,0,1462983,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73148,0,1463003,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73149,0,1463023,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73150,0,1463043,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73151,0,1463063,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73152,0,1463083,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73153,0,1463103,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73154,0,1463123,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73155,0,1463143,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73156,0,1463163,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73157,0,1463183,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73158,0,1463203,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73159,0,1463223,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73160,0,1463243,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73161,0,1463263,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73162,0,1463283,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73163,0,1463303,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73164,0,1463323,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73165,0,1463343,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73166,0,1463363,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73167,0,1463383,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73168,0,1463403,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73169,0,1463423,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73170,0,1463443,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73171,0,1463463,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73172,0,1463483,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73173,0,1463503,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73174,0,1463523,0,0.0,0
1573120,1,0,1,1,0,0,0.0,1,3,2,73175,0,1463543,0,0.0,0
1573120,1,0,1,1,0,-3,0.0,1,3,2,73176,0,1463563,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73177,0,1463583,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73178,0,1463603,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73179,0,1463623,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73180,0,1463643,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73181,0,1463663,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73182,0,1463683,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73183,0,1463703,0,0.0,0
1048832,0,0,1,1,0,-5,0.0,1,3,2,73184,0,1463723,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73185,0,1463743,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73186,0,1463763,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73187,0,1463783,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73188,0,1463803,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73189,0,1463823,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73190,0,1463843,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73191,0,1463863,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73192,0,1463883,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73193,0,1463903,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73194,0,1463923,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73195,0,1463943,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73196,0,1463963,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73197,0,1463983,0,0.0,0
1048832,0,0,1,1,0,-3,0.0,1,3,2,73198,0,1464003,0,0.0,0
1048832,0,0,1,1,0,0,0.0,1,3,2,73199,0,1464023,0,0.0,0
