event_bits,evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,1,0,1,0,0,0.0,1,3,2,65655,0,1313143,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65656,0,1313163,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65657,0,1313183,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65658,0,1313203,0,0.0,0
1048832,0,1,0,1,0,2,0.0,1,3,2,65659,0,1313223,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65660,0,1313243,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65661,0,1313263,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65662,0,1313283,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65663,0,1313303,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65664,0,1313323,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65665,0,1313343,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65666,0,1313363,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65667,0,1313383,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65668,0,1313403,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65669,0,1313423,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65670,0,1313443,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65671,0,1313463,0,0.0,0
1048832,0,1,0,1,0,-5,0.0,1,3,2,65672,0,1313483,0,0.0,0
1048832,0,1,0,1,0,-3,0.0,1,3,2,65673,0,1313503,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65674,0,1313523,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65675,0,1313543,0,0.0,0
1048832,0,1,0,1,0,0,0.0,1,3,2,65676,0,1313563,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65677,0,1313583,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65678,0,1313603,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65679,0,1313623,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65680,0,1313643,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65681,0,1313663,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65682,0,1313683,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65683,0,1313703,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65684,0,1313723,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65685,0,1313743,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65686,0,1313763,0,0.0,0
1050880,0,1,1,1,0,0,0.0,1,3,2,65687,0,1313783,0,0.0,0
1050880,0,1,1,1,0,-3,0.0,1,3,2,65688,0,1313803,0,0.0,0
