bullet_cnt,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
153,0.0,2,5550,25733836,25733836,2.245
153,0.0,2,3790,25745358,25745358,10.174
153,0.0,2,2605,25762116,25762116,13.247
153,0.0,2,1586,25781004,25781004,14.592
153,0.0,2,656,25793268,25793268,15.014
153,0.0,2,659,25808980,25808980,11.689
153,0.0,2,252,25823842,25823842,11.007
153,0.0,2,654,25834646,25834646,7.002
153,0.0,2,789,25842476,25842476,5.929
153,0.0,2,800,25842248,25842248,5.543
153,0.0,2,884,25849242,25849242,5.008
153,0.0,2,1026,25855432,25855432,4.431
153,0.0,2,1532,25859392,25859392,2.368
153,0.0,2,2412,25859394,25859394,-0.055
153,0.0,2,2821,25859392,25859392,0.001
153,0.0,2,3240,25859400,25859400,0.004
153,0.0,2,3642,25859424,25859424,0.016
153,0.0,2,4001,25859712,25859712,0.271
153,0.0,2,4445,25859912,25859912,0.053
153,0.0,2,4855,25860028,25860028,0.072
153,0.0,2,5191,25860496,25860496,0.403
153,0.0,2,5571,25861048,25861048,0.423
153,0.0,2,5966,25861304,25861304,0.166
153,0.0,2,5851,25862170,25862170,0.743
153,0.0,2,4218,25871082,25871082,8.586
153,0.0,2,2696,25888456,25888456,13.451
153,0.0,2,1898,25907032,25907032,13.683
153,0.0,2,904,25926068,25926068,14.774
153,0.0,2,810,25943718,25943718,11.392
153,0.0,2,399,25951502,25951502,10.657
153,0.0,2,546,25963248,25963248,7.91
153,0.0,2,1286,25968940,25968940,4.274
153,0.0,2,1157,25975648,25975648,5.002
153,0.0,2,1170,25982192,25982192,4.937
153,0.0,2,1242,25988664,25988664,4.645
