event_bits,evt_dial_neg,evt_dial_pos,evt_fn1_cur,evt_fn2_cur,evt_pause_cur,evt_trigger_cur,evt_vt03_online,fric_set,rc_s0,rc_s1,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640483,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640503,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640523,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640543,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640563,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640583,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640603,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640623,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640643,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640663,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640683,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640703,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640723,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640743,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640763,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640783,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640803,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640823,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640843,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640863,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640883,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640903,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640923,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640943,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640963,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,640983,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641003,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641023,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641043,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641063,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641083,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641103,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641123,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641143,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641163,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641183,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641203,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641223,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641243,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641263,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641283,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641303,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641323,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641343,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641363,0,0.0,0
1048832,0,0,0,0,0,0,1,0.0,3,2,0,641383,0,0.0,0
