evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1,0,1,9471,-9662,93400.0,3,2,150612,3012283,0,0.0,0
1,0,1,9460,-9624,93400.0,3,2,150613,3012303,0,0.0,0
1,0,1,9435,-9675,93400.0,3,2,150614,3012323,0,0.0,0
1,0,1,9433,-9643,93400.0,3,2,150615,3012343,0,0.0,0
1,0,1,9446,-9683,93400.0,3,2,150616,3012363,0,0.0,0
1,0,1,9452,-9631,93400.0,3,2,150617,3012383,0,0.0,0
1,0,1,9464,-9673,93400.0,3,2,150618,3012403,0,0.0,0
1,0,1,9471,-9639,93400.0,3,2,150619,3012423,0,0.0,0
1,0,1,9467,-9681,93400.0,3,2,150620,3012443,0,0.0,0
1,0,1,9473,-9645,93400.0,3,2,150621,3012463,0,0.0,0
1,0,1,9471,-9664,93400.0,3,2,150622,3012483,0,0.0,0
1,0,1,9479,-9656,93400.0,3,2,150623,3012503,0,0.0,0
1,0,1,9467,-9666,93400.0,3,2,150624,3012523,0,0.0,0
1,0,1,9454,-9673,93400.0,3,2,150625,3012543,0,0.0,0
1,0,1,9435,-9641,93400.0,3,2,150626,3012563,0,0.0,0
1,0,1,9431,-9660,93400.0,3,2,150627,3012583,0,0.0,0
1,0,1,9443,-9637,93400.0,3,2,150628,3012603,0,0.0,0
1,0,1,9454,-9683,93400.0,3,2,150629,3012623,0,0.0,0
1,0,1,9473,-9635,93400.0,3,2,150630,3012643,0,0.0,0
1,0,1,9481,-9671,93400.0,3,2,150631,3012663,0,0.0,0
1,0,1,9473,-9645,93400.0,3,2,150632,3012683,0,0.0,0
1,0,1,9475,-9671,93400.0,3,2,150633,3012703,0,0.0,0
1,0,1,9462,-9645,93400.0,3,2,150634,3012723,0,0.0,0
1,0,1,9464,-9652,93400.0,3,2,150635,3012743,0,0.0,0
1,0,1,9458,-9664,93400.0,3,2,150636,3012763,0,0.0,0
1,0,1,9456,-9656,93400.0,3,2,150637,3012783,0,0.0,0
1,0,1,9433,-9673,93400.0,3,2,150638,3012803,0,0.0,0
1,0,1,9437,-9635,93400.0,3,2,150639,3012823,0,0.0,0
1,0,1,9452,-9660,93400.0,3,2,150640,3012843,0,0.0,0
1,0,1,9464,-9631,93400.0,3,2,150641,3012863,0,0.0,0
1,0,1,9481,-9685,93400.0,3,2,150642,3012883,0,0.0,0
1,0,1,9490,-9643,93400.0,3,2,150643,3012903,0,0.0,0
1,0,1,9479,-9668,93400.0,3,2,150644,3012923,0,0.0,0
1,0,1,9475,-9650,93400.0,3,2,150645,3012943,0,0.0,0
1,0,1,9458,-9671,93400.0,3,2,150646,3012963,0,0.0,0
1,0,1,9456,-9652,93400.0,3,2,150647,3012983,0,0.0,0
1,0,1,9464,-9645,93400.0,3,2,150648,3013003,0,0.0,0
1,0,1,9454,-9664,93400.0,3,2,150649,3013023,0,0.0,0
1,0,1,9456,-9654,93400.0,3,2,150650,3013043,0,0.0,0
1,0,1,9448,-9677,93400.0,3,2,150651,3013063,0,0.0,0
1,0,1,9464,-9633,93400.0,3,2,150652,3013083,0,0.0,0
1,0,1,9481,-9664,93400.0,3,2,150653,3013103,0,0.0,0
1,0,1,9490,-9631,93400.0,3,2,150654,3013123,0,0.0,0
1,0,1,9490,-9685,93400.0,3,2,150655,3013143,0,0.0,0
1,0,1,9477,-9641,93400.0,3,2,150656,3013163,0,0.0,0
1,0,1,9473,-9681,93400.0,3,2,150657,3013183,0,0.0,0
1,0,1,9456,-9633,93400.0,3,2,150658,3013203,0,0.0,0
1,0,1,9450,-9666,93400.0,3,2,150659,3013223,0,0.0,0
1,0,1,9452,-9654,93400.0,3,2,150660,3013243,0,0.0,0
1,1,1,9450,-9645,93400.0,3,2,150661,3013263,0,0.0,0
1,1,1,9452,-9666,93400.0,3,2,150662,3013283,0,0.0,0
1,1,1,9452,-9654,93400.0,3,2,150663,3013303,0,0.0,0
1,1,1,9458,-9681,93400.0,3,2,150664,3013323,0,0.0,0
1,1,1,9473,-9633,93400.0,3,2,150665,3013343,0,0.0,0
1,1,1,9485,-9666,93400.0,3,2,150666,3013363,0,0.0,0
1,1,1,9477,-9629,93400.0,3,2,150667,3013383,0,0.0,0
1,1,1,9462,-9685,93400.0,3,2,150668,3013403,0,0.0,0
1,0,1,9454,-9641,93400.0,3,2,150669,3013423,0,0.0,0
1,0,1,9448,-9679,93400.0,3,2,150670,3013443,0,0.0,0
1,0,1,9448,-9635,93400.0,3,2,150671,3013463,0,0.0,0
1,0,1,9448,-9679,93400.0,3,2,150672,3013483,0,0.0,0
1,0,1,9456,-9645,93400.0,3,2,150673,3013503,0,0.0,0
1,0,1,9456,-9666,93400.0,3,2,150674,3013523,0,0.0,0
1,0,1,9458,-9635,93400.0,3,2,150675,3013543,0,0.0,0
1,0,1,9471,-9658,93400.0,3,2,150676,3013563,0,0.0,0
1,0,1,9479,-9673,93400.0,3,2,150677,3013583,0,0.0,0
1,0,1,9494,-9633,93400.0,3,2,150678,3013603,0,0.0,0
1,0,1,9483,-9660,93400.0,3,2,150679,3013623,0,0.0,0
1,0,1,9469,-9629,93400.0,3,2,150680,3013643,0,0.0,0
1,0,1,9443,-9687,93400.0,3,2,150681,3013663,0,0.0,0
1,0,1,9446,-9645,93400.0,3,2,150682,3013683,0,0.0,0
1,0,1,9452,-9681,93400.0,3,2,150683,3013703,0,0.0,0
1,0,1,9458,-9637,93400.0,3,2,150684,3013723,0,0.0,0
1,0,1,9467,-9683,93400.0,3,2,150685,3013743,0,0.0,0
1,0,1,9467,-9645,93400.0,3,2,150686,3013763,0,0.0,0
1,0,1,9469,-9671,93400.0,3,2,150687,3013783,0,0.0,0
1,0,1,9473,-9633,93400.0,3,2,150688,3013803,0,0.0,0
1,0,1,9475,-9660,93400.0,3,2,150689,3013823,0,0.0,0
1,0,1,9487,-9666,93400.0,3,2,150690,3013843,0,0.0,0
1,0,1,9473,-9658,93400.0,3,2,150691,3013863,0,0.0,0
1,0,1,9456,-9660,93400.0,3,2,150692,3013883,0,0.0,0
1,0,1,9433,-9631,93400.0,3,2,150693,3013903,0,0.0,0
1,0,1,9429,-9683,93400.0,3,2,150694,3013923,0,0.0,0
1,0,1,9458,-9639,93400.0,3,2,150695,3013943,0,0.0,0
1,0,1,9475,-9679,93400.0,3,2,150696,3013963,0,0.0,0
1,0,1,9481,-9631,93400.0,3,2,150697,3013983,0,0.0,0
1,0,1,9477,-9683,93400.0,3,2,150698,3014003,0,0.0,0
1,0,1,9477,-9641,93400.0,3,2,150699,3014023,0,0.0,0
1,0,1,9462,-9671,93400.0,3,2,150700,3014043,0,0.0,0
1,0,1,9462,-9629,93400.0,3,2,150701,3014063,0,0.0,0
1,0,1,9471,-9660,93400.0,3,2,150702,3014083,0,0.0,0
1,0,1,9460,-9658,93400.0,3,2,150703,3014103,0,0.0,0
1,0,1,9454,-9664,93400.0,3,2,150704,3014123,0,0.0,0
1,0,1,9435,-9647,93400.0,3,2,150705,3014143,0,0.0,0
