fric1_rpm,fric_set,key_v,shoot_mode
5394,5400.0,528,2
5350,5400.0,528,2
5396,5400.0,528,2
5390,5400.0,16,2
5375,5400.0,16,2
5407,5400.0,16,2
5342,5400.0,16,2
5407,5400.0,16,2
5369,5400.0,16,2
5392,5400.0,16,2
5386,5400.0,16,2
5363,5400.0,16,2
5357,5400.0,16,2
5428,5400.0,16,2
5375,5500.0,528,2
5428,5500.0,528,2
5499,5500.0,528,2
5507,5500.0,528,2
5484,5500.0,528,2
5463,5500.0,528,2
5491,5500.0,528,2
5501,5500.0,16,2
5499,5500.0,16,2
5484,5500.0,16,2
5465,5500.0,16,2
5482,5500.0,16,2
5601,5700.0,528,2
5637,5700.0,528,2
5643,5700.0,528,2
5645,5700.0,528,2
5664,5700.0,528,2
5702,5700.0,528,2
5694,5700.0,16,2
5666,5700.0,16,2
5698,5700.0,16,2
5719,5700.0,0,2
5687,5700.0,0,2
5660,5700.0,0,2
5694,5700.0,0,2
5698,5700.0,0,2
5660,5700.0,0,2
5685,5700.0,0,2
5704,5700.0,0,2
5702,5700.0,0,2
5660,5700.0,0,2
5694,5700.0,0,2
5679,5700.0,0,2
5694,5700.0,0,2
5687,5700.0,0,2
5650,5700.0,0,2
5679,5700.0,0,2
5660,5600.0,512,2
5629,5600.0,512,2
5616,5600.0,512,2
5593,5600.0,512,2
5591,5600.0,512,2
5566,5600.0,512,2
5551,5600.0,0,2
5562,5600.0,0,2
5564,5600.0,0,2
5534,5500.0,512,2
5491,5500.0,512,2
5501,5500.0,512,2
5465,5500.0,512,2
5444,5500.0,512,2
5484,5500.0,512,2
5507,5500.0,0,2
5509,5500.0,0,2
5472,5500.0,0,2
5440,5500.0,0,2
5472,5500.0,0,2
5495,5400.0,512,2
5428,5400.0,512,2
5378,5400.0,512,2
5405,5400.0,512,2
5348,5400.0,0,2
5403,5400.0,0,2
5390,5400.0,0,2
5380,5400.0,0,2
5403,5400.0,0,2
5403,5400.0,0,2
5338,5300.0,512,2
5340,5300.0,512,2
5275,5300.0,0,2
5302,5300.0,0,2
5308,5300.0,0,2
5256,5300.0,0,2
5292,5300.0,0,2
5294,5300.0,0,2
5246,5300.0,0,2
5300,5300.0,0,2
5306,5200.0,512,2
5195,5200.0,512,2
5154,5200.0,512,2
5175,5200.0,0,2
5175,5200.0,0,2
5204,5200.0,0,2
5210,5200.0,0,2
5177,5200.0,0,2
5177,5100.0,512,2
5129,5100.0,512,2
5076,5100.0,512,2
5082,5100.0,0,2
5057,5100.0,0,2
5066,5100.0,0,2
5093,5100.0,0,2
5126,5100.0,0,2
5099,5000.0,512,2
5013,5000.0,512,2
4976,5000.0,512,2
4963,5000.0,512,2
4972,5000.0,0,2
4969,5000.0,0,2
5007,5000.0,0,2
4999,5000.0,0,2
4988,5000.0,0,2
4961,5000.0,0,2
5018,5000.0,0,2
4926,4900.0,512,2
4900,4900.0,512,2
4879,4900.0,512,2
4930,4900.0,512,2
4863,4900.0,512,2
4888,4900.0,512,2
