i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
-4606,-3714,7870,1356,-30.0,120.0,184.85,5500
-4330,-3974,7710,1219,-30.0,120.0,184.82,5500
-4372,-3235,7282,1233,-30.0,120.0,179.49,5500
-4879,-2679,6435,1067,-28.0,120.0,172.43,5400
-4201,-1801,6545,1522,-28.0,120.0,168.6,5400
-4205,-1380,6090,2001,-28.0,120.0,166.3,5400
-4400,-610,5834,1640,-28.0,120.0,159.94,5400
-4510,-696,5634,1495,-28.0,120.0,161.09,5400
-4542,-635,5545,1466,-28.0,120.0,160.38,5400
-4594,-604,5565,1393,-26.0,120.0,164.7,5300
-4305,-892,5499,1346,-26.0,120.0,155.76,5300
-4302,-1112,5210,1392,-26.0,120.0,146.84,5300
-4444,-1006,4825,1357,-26.0,120.0,131.74,5300
-3743,-1118,5150,1553,-26.0,120.0,121.85,5300
-3720,-1384,5176,1479,-26.0,120.0,124.56,5300
-2996,-1778,4984,1211,-26.0,120.0,112.86,5300
-3192,-2574,4030,879,-26.0,120.0,105.7,5300
-2534,-2584,3080,1316,-26.0,120.0,91.84,5300
-1920,-3180,2517,1763,-26.0,120.0,92.28,5300
-1182,-3571,1087,1918,-26.0,120.0,92.28,5300
-295,-3479,751,3086,-26.0,120.0,92.28,5300
121,-3036,327,3206,-36.0,120.0,53.83,5800
268,-2771,438,3216,-36.0,120.0,53.47,5800
329,-2310,284,2739,-36.0,120.0,47.88,5800
-83,-2436,-304,2494,-40.0,120.0,45.65,6000
381,-2465,-204,2605,-40.0,120.0,43.75,6000
79,-2737,-483,2413,-40.0,120.0,44.77,6000
321,-2717,-683,3045,-40.0,120.0,46.13,6000
856,-2476,-853,3478,-40.0,120.0,46.13,6000
533,-2453,-1081,3215,-40.0,120.0,46.13,6000
537,-2044,-1233,2848,-40.0,120.0,41.43,6000
669,-2088,-1091,3615,-40.0,120.0,45.5,6000
318,-2784,-1462,2919,-40.0,120.0,49.35,6000
759,-2293,-1120,3658,-40.0,120.0,48.07,6000
444,-2338,-1571,3080,-40.0,120.0,48.44,6000
317,-2519,-1405,3697,-40.0,120.0,54.64,6000
229,-2918,-1364,3454,-40.0,120.0,57.13,6000
-29,-2757,-1092,3127,-40.0,120.0,56.38,6000
203,-2252,-695,3517,-40.0,120.0,54.84,6000
4665,3764,-5910,-4878,-40.0,120.0,0.0,6000
3601,280,-1810,-2809,-40.0,120.0,10.45,6000
2617,537,-1500,-2495,-40.0,120.0,12.31,6000
2748,980,-2224,-2285,-40.0,120.0,11.43,6000
2651,1293,-2246,-2681,-40.0,120.0,10.89,6000
2688,1675,-2294,-2865,-40.0,120.0,10.31,6000
2190,900,-2569,-3100,-40.0,120.0,11.31,6000
2569,974,-2125,-2754,-40.0,120.0,11.57,6000
3045,987,-2365,-2656,-40.0,120.0,11.62,6000
3142,1269,-1635,-2372,-40.0,120.0,11.62,6000
3210,961,-2025,-2281,-40.0,120.0,11.62,6000
2820,890,-2348,-2215,-40.0,120.0,11.83,6000
3589,1663,-1671,-1562,-40.0,120.0,12.47,6000
4264,1719,-2744,-2301,-40.0,120.0,13.92,6000
5193,3362,-3353,-3465,-40.0,120.0,23.79,6000
9865,4254,-6206,-6376,-40.0,120.0,49.17,6000
11358,3727,-7101,-8175,-40.0,120.0,95.55,6000
9500,3155,-7127,-7520,-40.0,120.0,159.83,6000
7788,1935,-5319,-6453,-40.0,120.0,190.7,6000
7833,2019,-5012,-6049,-40.0,120.0,191.79,6000
7903,1477,-4281,-4933,-40.0,120.0,173.84,6000
7735,1345,-4634,-4652,-38.0,120.0,180.76,5900
8057,1250,-3836,-3796,-38.0,120.0,173.35,5900
7067,1531,-4521,-2617,-38.0,120.0,173.97,5900
6717,1414,-4646,-1967,-38.0,120.0,174.11,5900
6237,2133,-4237,-1623,-38.0,120.0,167.85,5900
5692,1685,-5282,-1174,-38.0,120.0,177.36,5900
5577,1044,-5169,-1195,-36.0,120.0,166.82,5800
5303,1552,-5119,-1055,-36.0,120.0,165.18,5800
5202,1716,-5132,-705,-36.0,120.0,164.0,5800
