evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,0,1,0,0,0.0,2,2,139795,2795943,0,0
0,0,1,0,0,0.0,2,2,139796,2795963,0,0
0,0,1,0,0,0.0,2,2,139797,2795983,0,0
0,0,1,0,0,0.0,2,2,139798,2796003,0,0
0,0,1,0,0,0.0,2,2,139799,2796023,0,0
0,0,1,0,0,0.0,2,2,139800,2796043,0,0
0,0,1,0,0,0.0,2,2,139801,2796063,0,0
0,0,1,0,0,0.0,2,2,139802,2796083,0,0
0,0,1,0,0,0.0,2,2,139803,2796103,0,0
0,0,1,0,0,0.0,2,2,139804,2796123,0,0
0,0,1,0,0,0.0,2,2,139805,2796143,0,0
0,0,1,0,0,0.0,2,2,139806,2796163,0,0
0,0,1,0,0,0.0,2,2,139807,2796183,0,0
0,0,1,0,0,0.0,2,2,139808,2796203,0,0
0,0,1,0,0,0.0,2,2,139809,2796223,0,0
0,0,1,0,0,0.0,2,2,139810,2796243,0,0
0,0,1,0,0,0.0,2,2,139811,2796263,0,0
0,0,1,0,0,0.0,2,2,139812,2796283,0,0
0,0,1,0,0,0.0,2,2,139813,2796303,0,0
0,0,1,0,0,0.0,2,2,139814,2796323,0,0
0,0,1,0,0,0.0,2,2,139815,2796343,0,0
0,0,1,0,0,0.0,2,2,139816,2796363,0,0
0,0,1,0,0,0.0,2,2,139817,2796383,0,0
0,0,1,0,0,0.0,2,2,139818,2796403,0,0
0,0,1,0,0,0.0,2,2,139819,2796423,0,0
0,0,1,0,0,0.0,2,2,139820,2796443,0,0
0,0,1,0,0,0.0,2,2,139821,2796463,0,0
0,0,1,0,0,0.0,2,2,139822,2796483,0,0
0,0,1,0,0,0.0,2,2,139823,2796503,0,0
0,0,1,0,0,0.0,2,2,139824,2796523,0,0
0,0,1,0,0,0.0,2,2,139825,2796543,0,0
0,0,1,0,0,0.0,2,2,139826,2796563,0,0
0,0,1,0,0,0.0,2,2,139827,2796583,0,0
0,0,1,0,0,0.0,2,2,139828,2796603,0,0
0,0,1,0,0,0.0,2,2,139829,2796623,0,0
0,0,1,0,0,0.0,2,2,139830,2796643,0,0
0,0,1,0,0,0.0,2,2,139831,2796663,0,0
0,0,1,0,0,0.0,2,2,139832,2796683,0,0
0,0,1,0,0,0.0,2,2,139833,2796703,0,0
0,0,1,0,0,0.0,2,2,139834,2796723,0,0
0,0,1,0,0,0.0,2,2,139835,2796743,0,0
0,0,1,0,0,0.0,2,2,139836,2796763,0,0
0,0,1,0,0,0.0,2,2,139837,2796783,0,0
0,0,1,0,0,0.0,2,2,139838,2796803,0,0
0,0,1,0,0,0.0,2,2,139839,2796823,0,0
0,0,1,0,0,0.0,2,2,139840,2796843,0,0
0,0,1,0,0,0.0,2,2,139841,2796863,0,0
0,0,1,0,0,0.0,2,2,139842,2796883,0,0
0,0,1,0,0,0.0,2,2,139843,2796903,0,0
0,0,1,0,0,0.0,2,2,139844,2796923,0,0
0,0,1,0,0,0.0,2,2,139845,2796943,0,0
0,0,1,0,0,0.0,2,2,139846,2796963,0,0
0,0,1,0,0,0.0,2,2,139847,2796983,0,0
0,0,1,0,0,0.0,2,2,139848,2797003,0,0
0,0,1,0,0,0.0,2,2,139849,2797023,0,0
0,0,1,0,0,0.0,2,2,139850,2797043,0,0
0,0,1,0,0,0.0,2,2,139851,2797063,0,0
0,0,1,0,0,0.0,2,2,139852,2797083,0,0
0,0,1,0,0,0.0,2,2,139853,2797103,0,0
0,0,1,0,0,0.0,2,2,139854,2797123,0,0
0,0,1,0,0,0.0,2,2,139855,2797143,0,0
0,0,1,0,0,0.0,2,2,139856,2797163,0,0
0,0,1,0,0,0.0,2,2,139857,2797183,0,0
0,0,1,0,0,0.0,2,2,139858,2797203,0,0
0,0,1,0,0,0.0,2,2,139859,2797223,0,0
0,0,1,0,0,0.0,2,2,139860,2797243,0,0
0,0,1,0,0,0.0,2,2,139861,2797263,0,0
0,0,1,0,0,0.0,2,2,139862,2797283,0,0
0,0,1,0,0,0.0,2,2,139863,2797303,0,0
0,0,1,0,0,0.0,2,2,139864,2797323,0,0
0,0,1,0,0,0.0,2,2,139865,2797343,0,0
0,0,1,0,0,0.0,2,2,139866,2797363,0,0
0,0,1,0,0,0.0,2,2,139867,2797383,0,0
0,0,1,0,0,0.0,2,2,139868,2797403,0,0
0,0,1,0,0,0.0,2,2,139869,2797423,0,0
0,0,1,0,0,0.0,2,2,139870,2797443,0,0
0,0,1,0,0,0.0,2,2,139871,2797463,0,0
0,0,1,0,0,0.0,2,2,139872,2797483,0,0
1,0,1,0,0,0.0,2,2,139873,2797503,0,0
1,0,1,0,0,0.0,2,2,139874,2797523,0,0
1,0,1,0,0,0.0,2,2,139875,2797543,0,0
1,0,1,0,0,0.0,2,2,139876,2797563,0,0
1,0,1,0,0,0.0,2,2,139877,2797583,0,0
1,0,1,0,0,0.0,2,2,139878,2797603,0,0
1,0,1,0,0,0.0,2,2,139879,2797623,0,0
1,0,1,0,0,0.0,2,2,139880,2797643,0,0
0,0,1,0,0,0.0,2,2,139881,2797663,0,0
0,0,1,0,0,0.0,2,2,139882,2797683,0,0
0,0,1,0,0,0.0,2,2,139883,2797703,0,0
0,0,1,0,0,0.0,2,2,139884,2797723,0,0
0,0,1,0,0,0.0,2,2,139885,2797743,0,0
0,0,1,0,0,0.0,2,2,139886,2797763,0,0
0,0,1,0,0,0.0,2,2,139887,2797783,0,0
0,0,1,0,0,0.0,2,2,139888,2797803,0,0
0,0,1,0,0,0.0,2,2,139889,2797823,0,0
0,0,1,0,0,0.0,2,2,139890,2797843,0,0
0,0,1,0,0,0.0,2,2,139891,2797863,0,0
0,0,1,0,0,0.0,2,2,139892,2797883,0,0
0,0,1,0,0,0.0,2,2,139893,2797903,0,0
0,0,1,0,0,0.0,2,2,139894,2797923,0,0
