i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
-972,4540,887,-1484,-40.0,120.0,35.64,6000,0
-40,3184,39,-1630,-40.0,120.0,30.75,6000,0
557,3177,-450,-1764,-40.0,120.0,31.06,6000,0
1777,3588,-646,-1808,-40.0,120.0,32.72,6000,1
2664,2660,-795,-1350,-40.0,120.0,32.72,6000,1
2986,2400,-1133,-753,-40.0,120.0,32.72,6000,1
3142,1937,-1041,-581,-40.0,120.0,38.48,6000,0
3183,1596,-1119,-359,-40.0,120.0,39.54,6000,0
3889,1246,-1827,16,-40.0,120.0,45.23,6000,0
4826,1043,-2769,193,-40.0,120.0,53.41,6000,0
5880,241,-3592,844,-40.0,120.0,53.99,6000,1
5356,-682,-4821,1560,-40.0,120.0,53.99,6000,1
5437,-1121,-4855,3460,-40.0,120.0,53.99,6000,1
6093,-2608,-4397,4735,-40.0,120.0,104.52,6000,0
5706,-3312,-7377,6062,-40.0,120.0,122.85,6000,0
2847,-2268,-2792,7107,-40.0,120.0,111.83,6000,0
2432,-2676,-1765,5787,-40.0,120.0,101.68,6000,0
1710,-3114,-1076,6078,-40.0,120.0,104.46,6000,0
1227,-5132,91,5669,-40.0,120.0,108.15,6000,0
184,-4998,1379,6023,-40.0,120.0,123.08,6000,0
539,-6045,1696,4924,-40.0,120.0,145.13,6000,0
-16000,-5515,2558,4766,-40.0,120.0,169.67,6000,0
1015,-4669,3756,3670,-40.0,120.0,186.16,6000,0
-16000,-4786,5634,2770,-40.0,120.0,176.96,6000,0
698,-4624,6379,1940,-40.0,120.0,147.63,6000,0
-439,-3544,6688,1073,-40.0,120.0,114.52,6000,0
-2872,-2137,7024,797,-40.0,120.0,115.69,6000,0
-4188,-1285,6970,511,-40.0,120.0,121.93,6000,0
-4241,-35,6510,229,-40.0,120.0,135.07,6000,0
-3375,-914,5571,1617,-40.0,120.0,208.55,6000,0
-4132,138,5753,295,-40.0,120.0,231.24,6000,0
-3338,1320,5641,-385,-40.0,120.0,230.17,6000,0
-3288,1239,5103,472,-40.0,120.0,185.04,6000,0
-2457,1269,4680,470,-40.0,120.0,113.69,6000,0
-111,1164,2737,91,-40.0,120.0,72.8,6000,0
1181,1111,926,133,-40.0,120.0,44.06,6000,0
2014,1217,-566,-102,-40.0,120.0,25.95,6000,0
