evt_cmd_reverse_trigger,key_v,shoot_mode,trigger_cur,trigger_spd
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
1,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,1024,2,-7600,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
0,0,2,-5000,0.0
