bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
104,4710,-4690,23.656,6,-10000,3709798,3679827,7.652
104,4787,-4788,23.416,2,0,3704442,3704442,-6.569
104,4867,-4818,23.176,2,0,3698065,3698065,-6.855
104,4861,-4880,22.936,2,0,3692806,3692806,-5.503
104,4896,-4899,22.696,2,0,3688209,3688209,-4.8
104,4898,-4857,22.456,2,0,3684349,3684349,-4.116
104,4879,-4885,22.216,2,0,3681003,3681003,-3.482
104,4846,-4851,21.976,2,0,3678255,3678255,-2.867
104,4905,-4885,21.736,2,0,3676154,3676154,-2.178
104,4859,-4901,21.496,2,0,3674578,3674578,-1.542
104,4886,-4862,21.256,2,0,3673718,3673718,-0.864
104,4892,-4847,21.016,2,0,3673284,3673284,-0.453
104,4867,-4880,20.776,2,0,3673281,3673281,0.015
104,4915,-4872,20.536,2,0,3673281,3673281,0.001
104,4871,-4876,20.296,2,0,3673286,3673286,0.001
104,4894,-4899,20.057,2,0,3673292,3673292,0.005
104,4879,-4862,19.817,2,0,3673310,3673310,0.014
104,4882,-4887,19.577,2,0,3673351,3673351,0.045
104,4907,-4878,19.337,2,0,3673348,3673348,-0.005
104,4882,-4864,19.097,2,0,3673348,3673348,0.0
104,4900,-4883,18.857,2,0,3673348,3673348,0.0
104,4873,-4855,18.617,2,0,3673348,3673348,0.0
104,4894,-4895,18.377,2,0,3673348,3673348,0.0
104,4865,-4891,18.137,2,0,3673349,3673349,0.0
104,4919,-4866,17.897,2,0,3673349,3673349,0.0
104,4871,-4887,17.657,2,0,3673349,3673349,0.0
104,4892,-4845,17.417,2,0,3673353,3673353,0.004
104,4882,-4895,17.177,2,0,3673353,3673353,0.0
104,4884,-4885,16.937,4,10000,3676968,3710217,3.993
104,4903,-4910,16.697,4,10000,3691492,3710217,16.182
105,4854,-4793,26.457,6,-10000,3715916,3710217,25.718
