bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,4907,-4853,0.0,5,-1084,13395090,13372675,-0.909,-15.0
43,4903,-4843,0.0,5,-1076,13392397,13372675,-2.19,-15.0
43,4840,-4876,0.0,5,-1076,13389309,13372675,-2.272,-15.0
43,4865,-4860,0.0,5,-1082,13387274,13372675,-1.262,-15.0
43,4869,-4847,0.0,5,-1090,13387157,13372675,0.031,-15.0
43,4877,-4857,0.0,5,-1090,13387177,13372675,0.007,-15.0
43,4890,-4849,0.0,5,-1090,13387183,13372675,0.002,-15.0
43,4892,-4870,0.0,5,-1089,13387183,13372675,0.0,-15.0
43,4921,-4883,0.0,5,-1090,13387187,13372675,0.0,-15.0
43,4915,-4864,0.0,5,-1090,13387187,13372675,0.0,-15.0
43,4905,-4899,0.0,5,-1090,13387187,13372675,0.0,-15.0
43,4921,-4918,0.0,5,-1090,13387187,13372675,0.0,-15.0
43,4911,-4897,0.0,5,-1090,13387187,13372675,0.0,-15.0
43,4863,-4887,0.0,5,-1090,13387190,13372675,0.002,-15.0
43,4921,-4893,0.0,5,-1089,13387190,13372675,0.0,-15.0
43,4861,-4883,0.0,5,-235,13387235,13372675,0.05,15.0
43,4896,-4885,0.0,5,1056,13387444,13372675,0.137,15.0
43,4875,-4901,0.0,5,1087,13387885,13372675,0.472,15.0
43,4892,-4853,0.0,5,1080,13389767,13372675,1.619,15.0
43,4896,-4889,0.0,5,1078,13392443,13372675,1.98,15.0
43,4928,-4904,0.0,5,1080,13394621,13372675,1.617,15.0
43,4911,-4895,0.0,5,1083,13396256,13372675,1.076,15.0
43,4903,-4880,0.0,5,1089,13396694,13372675,0.134,15.0
43,4917,-4870,0.0,5,1090,13396694,13372675,-0.002,15.0
43,4894,-4878,0.0,5,1090,13396693,13372675,0.0,15.0
43,4856,-4857,0.0,5,1090,13396693,13372675,0.0,15.0
43,4856,-4849,0.0,5,1090,13396693,13372675,0.0,15.0
43,4879,-4860,0.0,5,1090,13396693,13372675,0.0,15.0
43,4873,-4845,0.0,5,1090,13396693,13372675,0.0,15.0
43,4871,-4870,0.0,5,1090,13396693,13372675,0.0,15.0
43,4898,-4891,0.0,5,1090,13396693,13372675,0.0,15.0
43,4898,-4889,0.0,5,1090,13396693,13372675,0.0,15.0
43,4844,-4876,0.0,5,1090,13396693,13372675,0.0,15.0
43,4900,-4906,0.0,5,1090,13396693,13372675,0.0,15.0
43,4900,-4899,0.0,5,1090,13396693,13372675,0.0,15.0
43,4844,-4885,0.0,5,1090,13396693,13372675,0.0,15.0
43,4873,-4904,0.0,5,1090,13396693,13372675,0.0,15.0
43,4875,-4851,0.0,5,1090,13396693,13372675,0.0,15.0
43,4869,-4880,0.0,5,1090,13396693,13372675,0.0,15.0
43,4873,-4895,0.0,5,1090,13396693,13372675,0.0,15.0
