evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,1,0,1,9473,-9677,159900.0,3,2,142973,2859503,0,0
0,1,0,1,9473,-9712,159900.0,3,2,142974,2859523,0,0
0,1,0,1,9492,-9656,159900.0,3,2,142975,2859543,0,0
0,1,0,1,9502,-9694,159900.0,3,2,142976,2859563,0,0
0,1,0,1,9498,-9685,159900.0,3,2,142977,2859583,0,0
0,1,0,1,9483,-9685,159900.0,3,2,142978,2859603,0,0
0,1,0,1,9475,-9700,159900.0,3,2,142979,2859623,0,0
0,1,0,1,9473,-9668,159900.0,3,2,142980,2859643,0,0
0,1,0,1,9481,-9696,159900.0,3,2,142981,2859663,0,0
0,1,0,1,9483,-9698,159900.0,3,2,142982,2859683,0,0
0,1,0,1,9500,-9658,159900.0,3,2,142983,2859703,0,0
0,1,0,1,9490,-9694,159900.0,3,2,142984,2859723,0,0
0,1,0,1,9483,-9658,159900.0,3,2,142985,2859743,0,0
0,1,0,1,9485,-9696,159900.0,3,2,142986,2859763,0,0
0,1,0,1,9475,-9679,159900.0,3,2,142987,2859783,0,0
0,1,0,1,9477,-9656,159900.0,3,2,142988,2859803,0,0
0,1,0,1,9481,-9698,159900.0,3,2,142989,2859823,0,0
0,1,0,1,9500,-9666,159900.0,3,2,142990,2859843,0,0
0,1,0,1,9515,-9702,159900.0,3,2,142991,2859863,0,0
0,1,0,1,9490,-9666,159900.0,3,2,142992,2859883,0,0
0,1,0,1,9479,-9673,159900.0,3,2,142993,2859903,0,0
0,1,0,1,9458,-9708,159900.0,3,2,142994,2859923,0,0
0,1,0,1,9473,-9677,159900.0,3,2,142995,2859943,0,0
0,1,0,1,9492,-9691,159900.0,3,2,142996,2859963,0,0
0,1,0,1,9517,-9683,159900.0,3,2,142997,2859983,0,0
0,1,0,1,9508,-9679,159900.0,3,2,142998,2860003,0,0
0,1,0,1,9487,-9712,159900.0,3,2,142999,2860023,0,0
0,1,0,1,9460,-9656,159900.0,3,2,143000,2860043,0,0
0,1,0,1,9456,-9696,159900.0,3,2,143001,2860063,0,0
0,1,0,1,9492,-9681,159900.0,3,2,143002,2860083,0,0
0,1,0,1,9496,-9685,159900.0,3,2,143003,2860103,0,0
0,1,0,1,9510,-9700,159900.0,3,2,143004,2860123,0,0
0,1,1,1,9487,-9652,159900.0,3,2,143005,2860143,0,0
0,1,1,1,9471,-9696,159900.0,3,2,143006,2860163,0,0
0,1,1,1,9469,-9679,159900.0,3,2,143007,2860183,0,0
0,1,1,1,9475,-9689,159900.0,3,2,143008,2860203,0,0
0,1,1,1,9496,-9685,159900.0,3,2,143009,2860223,0,0
0,1,1,1,9510,-9654,159900.0,3,2,143010,2860243,0,0
0,1,1,1,9502,-9702,159900.0,3,2,143011,2860263,0,0
0,1,1,1,9494,-9675,159900.0,3,2,143012,2860283,0,0
0,1,1,1,9475,-9664,159900.0,3,2,143013,2860303,0,0
0,1,0,1,9471,-9700,159900.0,3,2,143014,2860323,0,0
0,1,0,1,9473,-9671,159900.0,3,2,143015,2860343,0,0
0,1,0,1,9487,-9706,159900.0,3,2,143016,2860363,0,0
0,1,0,1,9496,-9666,159900.0,3,2,143017,2860383,0,0
0,1,0,1,9487,-9675,159900.0,3,2,143018,2860403,0,0
0,1,0,1,9477,-9708,159900.0,3,2,143019,2860423,0,0
0,1,0,1,9479,-9675,159900.0,3,2,143020,2860443,0,0
0,1,0,1,9475,-9702,159900.0,3,2,143021,2860463,0,0
0,1,0,1,9477,-9660,159900.0,3,2,143022,2860483,0,0
0,1,0,1,9483,-9681,159900.0,3,2,143023,2860503,0,0
0,1,0,1,9496,-9706,159900.0,3,2,143024,2860523,0,0
0,1,0,1,9498,-9675,159900.0,3,2,143025,2860543,0,0
0,1,0,1,9506,-9694,159900.0,3,2,143026,2860563,0,0
0,1,0,1,9485,-9689,159900.0,3,2,143027,2860583,0,0
